Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Name,Address,Tender Stage
,,,,,,,,,,,,,,,,11,3023083,MANORANJAN RATH,04-Aug-2025 04:17 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,3019855,M/S NIMRAD DIGAL,01-Aug-2025 12:55 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,3022222,M/S SANJIB KUMAR MALLA,03-Aug-2025 01:33 PM,Accepted-AOC,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner.,11-Dec-2025 11:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,3023543,M/S SANJUKTA SAHU,04-Aug-2025 07:39 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,15,3019031,PADMINI PADHI,02-Aug-2025 05:38 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,16,3019461,PINTU NAYAK,01-Aug-2025 01:30 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,17,3022291,PRAKASH CHANDRA NAYAK,04-Aug-2025 07:33 AM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,18,3017585,PRATAP MISHRA,31-Jul-2025 10:43 AM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,19,3020212,RAJASHREE CONSTRUCTION,01-Aug-2025 12:29 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,20,3022672,ROMYAJEET PANDA,04-Aug-2025 06:27 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,21,3022168,SACHIN KUMAR BEBARTTA,04-Aug-2025 11:58 AM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,22,3016853,SANJEEB KUMAR NAYAK,02-Aug-2025 02:04 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,23,3015379,SIBA NAYAK,28-Jul-2025 06:59 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,24,3021858,SORAJ KUMAR BEHERA,03-Aug-2025 11:17 AM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,25,3014651,SUPRAVA BEHERA,30-Jul-2025 06:28 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
