Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
,,,,,,,,,,,,,,,,12,3154495,KHALID LATHIYA,27-Oct-2025 12:32 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,3145128,Kunja Bihari Sahu,24-Oct-2025 01:31 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,3154860,KUSHA SAHU,27-Oct-2025 03:12 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,15,3155594,LITUNA SAHU,27-Oct-2025 01:04 AM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,16,3156263,MS RAZA BOREWELLS PROP ASFAK AHMAD,28-Oct-2025 01:23 AM,Accepted-AOC,Qualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,17,3152860,NARAYAN PANIGRAHI,26-Oct-2025 12:53 AM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,18,3149988,NILAMADHAB NAIK,25-Oct-2025 06:46 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,19,3153086,PRASANTA KUMAR PARIDA,26-Oct-2025 08:46 AM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,20,3153230,Rameswar Gond,27-Oct-2025 06:24 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,21,3154392,RUNANANDA NAYAK,26-Oct-2025 11:59 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,22,3161758,SAHIL KHAN,27-Oct-2025 11:59 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,23,3156102,SANJAYA KUMAR SWAIN,27-Oct-2025 05:37 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,24,3152574,SANTOSH KUMAR MAHANKUDA,25-Oct-2025 09:21 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,25,3158654,SANTOSH KUMAR MOHAPATRA,27-Oct-2025 12:58 PM,Rejected-Technical,Work name not mentioned in Affidavit,25-Nov-2025 05:02 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,26,3163825,SARAT CHANDRA JENA,28-Oct-2025 03:29 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,27,3150128,SASWAT MAJHI,26-Oct-2025 06:59 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,28,3163600,SATYA SWAGAT SWAIN,28-Oct-2025 04:45 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,29,3148619,SUBHENDU ROUT,24-Oct-2025 03:04 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,30,3152739,TRILOCHAN BEHERA,26-Oct-2025 12:25 AM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
