S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3137298,"M/S SUBHALAXMI CONSTRUCTION, PRO ANKIT JAIN",20-Oct-2025 03:12 AM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3127567,NIHAR RANJAN JENA,14-Oct-2025 01:50 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3135388,PRABHATKUMAR BISOI,19-Oct-2025 12:44 PM,Rejected-Technical,Technically disqualified under eligibility criteria as per DTCN Format 2.7 b towards machinery,20-Nov-2025 09:27 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3136219,Rajesh Ranjan Dash,19-Oct-2025 06:18 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3134493,RAMESH BISWAS,20-Oct-2025 02:07 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3133311,RAM KRUSHNA CHATRIYA,17-Oct-2025 08:18 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3130375,SAHIL KHAN,18-Oct-2025 01:36 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3132812,S.ANIL KUMAR,17-Oct-2025 04:19 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3131554,Sanjay Kumar Agrawal,16-Oct-2025 06:58 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3134238,SANKAR NARAYAN MOHANTY,20-Oct-2025 02:19 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3131835,SANSAI PANKA,17-Oct-2025 11:41 AM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3133534,SANTOSH KUMAR MAHANKUDA,17-Oct-2025 11:51 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3132573,SASANKA SHEKHAR BISSOYI,17-Oct-2025 02:44 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3136076,SHREEANSH JAIN,19-Oct-2025 03:53 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3131658,SIBA RANJAN PATRA,16-Oct-2025 09:03 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3133287,SIDHARTHA BISSOYI,17-Oct-2025 08:07 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3129969,SIVARAM KRISHNA BISSOYI,15-Oct-2025 07:44 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3131134,SOFIA BEGUM,18-Oct-2025 12:00 AM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3131833,SOURAV KUMAR AGRAWAL,19-Oct-2025 10:50 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,3133042,SRIKANT KUMAR BISSOYI,17-Oct-2025 08:44 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,3129031,Subhransu sekhar samal,16-Oct-2025 12:10 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,3135990,Suraj Pati,19-Oct-2025 04:20 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
