S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3117062,GAGANBIHARI KAR,08-Oct-2025 04:51 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3116562,GYANA PRAKASH BISWAL,08-Oct-2025 02:30 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3112562,GYANA RANJAN NAYAK,06-Oct-2025 03:49 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3116749,HRUDAYAGRAHI NAYAK,08-Oct-2025 03:27 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3116786,KAILASH CHANDRA JENA,08-Oct-2025 03:25 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3115098,KHAGESWAR SAHOO,07-Oct-2025 09:07 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3114242,MAMTAJ ALLI AHEMMAD,08-Oct-2025 01:40 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3111953,MANAS RANJAN MOHARANA,06-Oct-2025 12:14 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3115017,MANOJ KUMAR JENA,07-Oct-2025 08:13 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3115756,MONALISHA MARNDI,08-Oct-2025 04:52 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3102928,"M/S GURUKRUPA CONSTRUCTION, PROPRIETOR , TRUPTI SINGH",29-Sep-2025 05:43 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3110281,NALINIKANTA SWAIN,08-Oct-2025 03:14 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3114647,Nigamananda Adhikari,08-Oct-2025 12:40 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3115151,Pradeep Kumar Brahma,07-Oct-2025 09:59 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3116846,RATIRANJAN PAIKRAY,08-Oct-2025 03:42 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3100598,RUDRANARAYAN RAY PRITAM,25-Sep-2025 07:09 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3101111,SAGARIKA SWAIN,26-Sep-2025 04:14 PM,Accepted-AOC,WINNER,02-Dec-2025 01:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3095948,SAHIL KHAN,22-Sep-2025 09:30 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3115137,SANTAPRAKASH SAHOO,08-Oct-2025 12:11 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3110951,SITIKANTHA DASH,05-Oct-2025 02:31 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3116218,SRUTIRANJAN BEHERA,08-Oct-2025 01:09 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3115794,SUMAN SAHOO,08-Oct-2025 11:43 AM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3110928,Sumit Dhal,05-Oct-2025 02:17 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3102764,SUSHANT KUMAR DALEI,29-Sep-2025 02:46 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3115067,SUSHIL KUMAR ROUTRAY,07-Oct-2025 08:43 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3109843,TIPU ROUT,04-Oct-2025 05:08 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3107461,TRUPTIMAYEE PARIDA,03-Oct-2025 03:14 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
