Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3089887,CHHANDA CHARAN HARIJAN,20-Sep-2025 12:18 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3085978,CHINMAYA RANJAN SAHU,18-Sep-2025 12:01 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3090346,DEBANAND NAG,20-Sep-2025 01:56 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3090063,DHANMAT GANDA,20-Sep-2025 01:43 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3085695,DIGAMBAR MOHANTY,17-Sep-2025 11:43 PM,Accepted-AOC,Qualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3085679,DINESH BISWAS,18-Sep-2025 10:24 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3085247,GHANASHYAMA BISOYI,17-Sep-2025 07:11 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3085316,GOURI PRASAD PATRO,18-Sep-2025 06:36 AM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3086601,HATIA ROUT,18-Sep-2025 04:22 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3086724,HIMANSHU PRADHAN,18-Sep-2025 06:51 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3089470,JAGANNATH DHALI,20-Sep-2025 12:14 AM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3089364,JITENDRA KUMAR JENA,19-Sep-2025 09:59 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3088733,KUSHA SAHU,19-Sep-2025 05:58 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3090205,LADU KISHORE NAYAK,20-Sep-2025 01:11 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3089329,LAXMIKANTA NAYAK (S.T),19-Sep-2025 09:55 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3086521,LIPA BISWAL,18-Sep-2025 08:44 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3089988,MOHAMMAD WASHIQ LATHIYA,20-Sep-2025 12:34 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3085342,NARAYAN PANIGRAHI,17-Sep-2025 08:58 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3084364,PAPU BACHHAR,20-Sep-2025 08:27 AM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3086920,Paritosh Gharami,19-Sep-2025 03:40 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3087208,PRABHAKAR NAYAK,18-Sep-2025 10:43 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3090786,PRADEEP KUMAR SAMANTRAY,20-Sep-2025 04:04 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3089522,PRASANTA KUMAR PARIDA,20-Sep-2025 12:11 AM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3085776,PRATAP KUMAR MALLICK,18-Sep-2025 08:22 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3090672,PRATHAM PRASAD SWAIN,20-Sep-2025 03:28 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3088737,RABI SING NAYAK,19-Sep-2025 05:42 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3085023,RAJKUMAR SATNAMI,17-Sep-2025 02:02 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3084194,Rameswar Gond,17-Sep-2025 01:44 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3087258,RATAN KUMAR MONDAL,19-Sep-2025 08:34 AM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3088821,SAKTI PRASAD BEHERA,19-Sep-2025 06:00 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,3087364,SANTOSH KUMAR SWAIN,19-Sep-2025 09:55 AM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,3084326,SASWAT MAJHI,17-Sep-2025 10:49 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,3090262,SUBRAT MEDINIRAY,20-Sep-2025 03:00 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3088954,SUMITRA BEPARI,19-Sep-2025 09:42 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,3087225,SURENDRA DURGA,19-Sep-2025 08:24 AM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,3090627,TAPAN KUMAR PATRA,20-Sep-2025 03:39 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
