S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
,,,,,,,,,11,3193356,LILYOMAN KUMBHAR,07-Nov-2025 01:06 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,12,3185450,MAYANK JAIN,07-Nov-2025 05:45 AM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,13,3183560,MD NOAMAN RAZA KHAN,06-Nov-2025 05:44 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,14,3188179,Minakshi Mishra,07-Nov-2025 01:07 AM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,15,3184117,MOHAMMAD TAHIR KHAN,05-Nov-2025 03:57 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,16,3189318,MOHAMMAD TAYYAB KHAN,06-Nov-2025 06:11 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,17,3189554,NAIMISH KUMAR PADHAN,06-Nov-2025 04:57 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,18,3171096,Namita Mishra,04-Nov-2025 08:22 AM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,19,3194182,NILARATNA MAHAPATRA,07-Nov-2025 03:33 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,20,3183964,NIRUPAMA DASH,06-Nov-2025 09:03 AM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,21,3190678,PIYUSH GUPTA,06-Nov-2025 07:36 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,22,3186684,Raghunath Bedbak,05-Nov-2025 10:03 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,23,3193700,RAJ KUMAR MEHER,07-Nov-2025 02:09 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,24,3188097,RAMANANDA MAHAKUR,06-Nov-2025 12:07 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,25,3187903,RANAJITA PADHI,07-Nov-2025 12:32 AM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,26,3191171,ROSHINI BARIK,06-Nov-2025 10:50 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,27,3192363,SABITA SAHU,07-Nov-2025 03:27 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,28,3190430,SACHINDRA MALLIK,07-Nov-2025 01:42 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,29,3187589,SAIRAM TRADERS,06-Nov-2025 11:00 AM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,30,3192110,SAMIR KUMAR THANAPATI,07-Nov-2025 08:26 AM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,31,3184549,SANJAY KUMAR AGRAWAL,07-Nov-2025 01:53 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,32,3193924,SARBAJIT RAJGURU,07-Nov-2025 04:44 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,33,3194372,SAROJ KUMAR SAHU,07-Nov-2025 04:04 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,34,3193830,SOURAV KUMAR BEDBAK,07-Nov-2025 02:12 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,35,3188493,SUMIT KUMAR PANDA,07-Nov-2025 02:52 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
