S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,11,3011355,DIBYAJIBAN SAHOO,24-Jul-2025 09:43 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,12,3006729,GANESH CHANDRA SAHOO,21-Jul-2025 02:07 PM,Accepted-AOC,winner of the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,13,3012532,JEETESH RANJAN BEHERA,26-Jul-2025 12:25 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,14,3015061,LOHITRANJAN MOHANTA,28-Jul-2025 02:40 PM,Rejected-Technical,Technically Non-Responsive,19-Oct-2025 10:07 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,15,3013857,MARIYAM KISPOTTA,28-Jul-2025 02:26 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,16,3011513,MONALUCKY PRADHAN,27-Jul-2025 11:28 AM,Rejected-Finance,Rejected as L3 bidder,30-Oct-2025 11:14 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,17,3002412,NAGENDRA SINGH,26-Jul-2025 03:35 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,18,3011168,NITYARANJAN BEHERA,24-Jul-2025 08:00 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,19,3015109,PRAVAT KUMAR BISWAL,28-Jul-2025 02:48 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,20,3003273,PROJOLITA DASH,22-Jul-2025 10:45 AM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,21,3003303,RAJESH PANIGRAHI,22-Jul-2025 10:17 AM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,22,3014741,RAKESH KUMAR SAHU,28-Jul-2025 02:14 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,23,3007657,RAKESH ROSHAN SETHY,21-Jul-2025 07:45 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,24,3014445,RAMA CHANDRA BEHERA,28-Jul-2025 11:35 AM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,25,3011802,RAMAKRISHNA PAIKARAY,25-Jul-2025 01:47 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,26,3003615,SANDEEP KUMAR BHADRA,18-Jul-2025 09:22 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,27,3015553,SANGRAM KESHARI NAYAK,28-Jul-2025 05:27 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,28,3013474,SATYANANDA MAJHI,28-Jul-2025 05:28 AM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,29,3004863,SATYANARAYAN DAS,20-Jul-2025 02:22 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,30,3013772,SAUMYA RANJAN GIRI,27-Jul-2025 06:24 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,31,3014797,SHIBASANKAR RAJ,28-Jul-2025 01:11 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,32,3013204,SINGHAL BUSINESS PRIVATE LIMITED,28-Jul-2025 02:37 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,33,3014652,SOMANATH JENA,28-Jul-2025 02:48 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,34,3010767,SUBHAM KUMAR SAHU,24-Jul-2025 01:09 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,35,3013177,SUBRAT KUMAR PANDA,27-Jul-2025 11:25 AM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,36,3003295,Sudhakar Nayak,18-Jul-2025 04:23 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,37,3010449,SUSANTA KUMAR DEHURY,24-Jul-2025 01:18 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,38,3009112,SUSOBHAN SAMANTARAY,22-Jul-2025 06:43 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,39,3009770,SUVAJIT CHOUDHURY,23-Jul-2025 05:13 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,40,3014723,TAPAS BHARATI,28-Jul-2025 01:00 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,41,3015427,TECHNO TRADING CORPORATION,28-Jul-2025 05:13 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,42,3014222,Tridev agency,28-Jul-2025 08:24 AM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
