Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2959946,DEEPAK KUMAR MAJHI,10-Jun-2025 04:30 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2959561,Dibyasingha Majhi,10-Jun-2025 02:02 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2957877,DURYODHAN SAHOO,09-Jun-2025 02:49 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2953327,GANESWAR BEHERA,08-Jun-2025 09:56 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2957804,HRUDANANDA BARIK,09-Jun-2025 02:16 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2958634,ISWAR CHANDRA ROUTRAY,09-Jun-2025 09:08 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2956305,JANARDAN JENA,08-Jun-2025 02:03 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2958442,JYOTIPRAKASH DASH,09-Jun-2025 07:42 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2956781,KALANDI BEHERA,08-Jun-2025 08:34 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2958232,KAMAKSHA PRASADA JENA,09-Jun-2025 06:01 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2959886,LALATENDU NAYAK,10-Jun-2025 04:44 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2957227,MALAY KUMAR ROUT,09-Jun-2025 11:24 AM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2958229,MANOJ KUMAR BAL,09-Jun-2025 05:32 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2954851,MANSI ENTERPRISES PROP. BISWARANJAN SWAIN,07-Jun-2025 12:48 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2959797,MR SANJAYA KUMAR PRADHAN,10-Jun-2025 03:17 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2958792,M/S MAA JOGESWARI ENTERPRISES,10-Jun-2025 12:08 AM,Accepted-AOC,The work has been awarded to Ms Maa Jogeswari Enterprises,22-Aug-2025 05:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2953271,NILAMANI SAHOO,05-Jun-2025 06:48 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2959386,NIRANJAN NAYAK,10-Jun-2025 01:13 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2959555,Nishikanta Swain,10-Jun-2025 02:10 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2954967,PADMINI SAHOO,06-Jun-2025 09:18 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2954015,PRASANNA KUMAR JENA,06-Jun-2025 11:38 AM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2959470,PRAVATI SAHOO,10-Jun-2025 01:34 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2956263,PRAVAT KUMAR JENA,08-Jun-2025 01:04 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2955553,RABI SETHI,08-Jun-2025 08:48 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2958396,RADHARANI JENA,09-Jun-2025 07:11 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2953320,RAJ GOPAL BISWAL,10-Jun-2025 12:47 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2954377,RAKESH KUMAR SAHOO,10-Jun-2025 12:32 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,2955933,RAMACHANDRA SAHOO,07-Jun-2025 10:33 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2959652,SAGARIKA BISWAL,10-Jun-2025 04:00 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2955211,SANJAY KUMAR MALIK,07-Jun-2025 01:49 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2953867,SANTOSH KUMAR SAHOO,06-Jun-2025 10:37 AM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2959314,SAROJINI JENA,10-Jun-2025 12:52 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2956790,SATYAJIT JENA,09-Jun-2025 10:08 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2959630,SATYAJIT SAMAL,10-Jun-2025 02:31 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2958095,SK FAISAL ALI,09-Jun-2025 07:16 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2954078,SMRUTI RANJAN BEURIA,07-Jun-2025 07:25 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,2953860,SUDHIR KUMAR SWAIN,06-Jun-2025 10:30 AM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2958916,Suroja Kumar Pradhan,10-Jun-2025 10:47 AM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,2954679,SUSANTA KUMAR BAL,06-Jun-2025 04:36 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2958512,TAPASWINI MANSINGH,09-Jun-2025 08:27 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2959457,TIKI RANI PUHAN,10-Jun-2025 01:33 PM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,2953942,UMAKANTA JENA,06-Jun-2025 11:19 AM,Rejected-Finance,Other than L1,01-Jul-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
