S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2746491,JAI BAJRANGBALI INFRA,13-Jan-2025 04:13 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2748991,KAMALA AGRAWAL,14-Jan-2025 02:56 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2754204,MD. ILIYAS,16-Jan-2025 10:55 AM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2752500,MITTAL INFRAPROJECTS,15-Jan-2025 08:52 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2755941,MS GLOBAL CONSTRUCTION,16-Jan-2025 04:09 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2754150,M/S RAMESH KUMAR AGRAWAL,16-Jan-2025 10:12 AM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2756068,M/s SHREE INFRA AND CO,16-Jan-2025 04:43 PM,Accepted-AOC,Success in lottery system,02-Aug-2025 12:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2750596,M/S SRI OMI INFRA,15-Jan-2025 09:11 AM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2745851,M/S TANUSHREE CONSTRUCTION PROPRIETOR RAJENDRA BEHERA,16-Jan-2025 03:09 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2755494,MS TILAK CHAND AGRAWAL,16-Jan-2025 02:38 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2754581,NILESH KUMAR AGRAWAL,16-Jan-2025 12:09 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2748135,NITESH KUMAR JAIN,14-Jan-2025 09:49 AM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2755287,OM CONSTRUCTIONS,16-Jan-2025 01:58 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2745087,Raghunandan Agrawal,15-Jan-2025 10:25 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2754213,ROHIT KUMAR AGRAWAL,16-Jan-2025 03:14 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2752681,R S Infrastructure,15-Jan-2025 05:57 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2752181,SAMEERKANTA PANDA,16-Jan-2025 10:30 AM,Rejected-Technical,Information on work in hand in complete shape not furnished,18-Feb-2025 02:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2752263,SANANDA THAKUR,16-Jan-2025 12:47 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2748647,SANGRAM MISHRA,16-Jan-2025 03:03 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2755786,Sanjay Agrawal,16-Jan-2025 03:38 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2755934,sarasi pati,16-Jan-2025 03:56 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2753332,SHREE BISWAKARMA INFRA,16-Jan-2025 03:03 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2755279,SOBIKA AGRAWAL,16-Jan-2025 04:07 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2754084,SS CONSTRUCTION,16-Jan-2025 03:32 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2750773,YUBRAJ JAIN,16-Jan-2025 10:38 AM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
