Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,16,2965905,KAILASH CHANDRA NAYAK,13-Jun-2025 04:54 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,17,2956520,KRUSHNA CHANDRA SWAIN,10-Jun-2025 04:00 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,18,2958958,LAXMIPRIYA PRADHAN,10-Jun-2025 11:08 AM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,19,2963404,MADHUSUDAN BEHERA,12-Jun-2025 12:08 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,20,2965143,MANGARAJ BARIK,13-Jun-2025 02:32 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,21,2962240,MIR LIYAKAT ALLI,12-Jun-2025 06:16 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,22,2954039,NIHAR RANJAN CHOUDHURY,06-Jun-2025 08:15 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,23,2960756,NIRANJAN SWAIN,12-Jun-2025 08:22 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,24,2956412,NIRMALYA BARIK,10-Jun-2025 07:06 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,25,2951409,PABITRA MOHAN SAHOO,07-Jun-2025 07:56 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,26,2956582,PRANAB KUMAR NAYAK,10-Jun-2025 12:17 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,27,2964552,PRASANNA KUMAR NAYAK,12-Jun-2025 05:07 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,28,2964220,PRASANTA KUMAR SAHOO,12-Jun-2025 03:28 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,29,2951649,PRATIMA NAYAK,10-Jun-2025 06:37 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,30,2964152,RAMA CHANDRA SETHY,12-Jun-2025 03:13 PM,Accepted-AOC,"L1 bid of Sri RAMA CHANDRA SETHY selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.",22-Aug-2025 01:47 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,31,2954412,Renubala Dutta,07-Jun-2025 01:33 AM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,32,2950727,ROJALINI ROUT,09-Jun-2025 03:30 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,33,2958153,SAROJ KUMAR NANDA,10-Jun-2025 11:07 AM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,34,2965477,SASMITA JENA,13-Jun-2025 01:28 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,35,2963757,SUBASH CHANDRA SWAIN,12-Jun-2025 01:33 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,36,2953014,SUDHAKAR MALLICK,11-Jun-2025 09:46 AM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
