Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3077755,GOUTAM SAHU,12-Sep-2025 04:53 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3079760,Hari Chandra Nayak,14-Sep-2025 05:37 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3067034,KABITA SAHU,07-Sep-2025 11:31 AM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3074241,Krushna Chandra Gouda,10-Sep-2025 03:00 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3081061,Kunja Bihari Sahu,15-Sep-2025 01:24 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3079584,NANDNI ADHIKARI,14-Sep-2025 02:29 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3076639,NILANCHAL PRADHNA,11-Sep-2025 04:31 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3069427,PANADAB GOUDA,08-Sep-2025 06:29 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3074980,PURNA CHANDRA SAHU,10-Sep-2025 08:18 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3079623,RAGHUNATH GOUDA,14-Sep-2025 03:20 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3078100,RANJAN KUMAR SAHU,12-Sep-2025 09:01 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3070767,RANJITA KUMARI SAHU,09-Sep-2025 10:01 AM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3079620,SANJAYA KUMAR SAHU,15-Sep-2025 01:35 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3078287,Sukesh Chandra Ratha,13-Sep-2025 10:53 AM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3081016,SWOSTI CONSTRUCTION PROP DUSHMANTA CHANDRA SAHU,15-Sep-2025 01:14 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3081022,Umakanta Sahu,15-Sep-2025 12:59 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
