S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3073729,GHANTA SURYA REDDY,10-Sep-2025 12:38 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3072616,GOBINDA CHANDRA SETHI,09-Sep-2025 07:34 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3077752,GOUTAM SAHU,12-Sep-2025 04:49 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3079746,Hari Chandra Nayak,14-Sep-2025 05:44 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3072727,Hrushikesh Sethy,10-Sep-2025 08:49 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3078094,JYOTIRMAYEE BAL,12-Sep-2025 09:36 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3074909,KISHOR CHANDRA PADHY,11-Sep-2025 07:16 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3067339,KRISHNA JENA,07-Sep-2025 02:12 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3075979,Mahendra Sura,11-Sep-2025 12:52 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3069420,PANADAB GOUDA,08-Sep-2025 06:24 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3076674,Prabhata Kumar Padhy,11-Sep-2025 06:09 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3078278,Pradeep Kumar Panda,14-Sep-2025 11:25 AM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3081103,PRATIMA ENTERPRISES,15-Sep-2025 02:40 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3080780,RAJESH KUMAR PATNAIK,15-Sep-2025 12:22 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3078736,Ranjan Swain,13-Sep-2025 04:36 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3079618,SANJAYA KUMAR SAHU,15-Sep-2025 01:32 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3078660,SANTOSH KUMAR MAHARANA,13-Sep-2025 03:39 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3065760,SAPANA SETHI,06-Sep-2025 03:56 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3076173,SATYAVAMA PRADHAN,11-Sep-2025 04:24 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3081271,SIBANI PRUSTI,15-Sep-2025 01:56 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3078583,SUNITA BEHERA,13-Sep-2025 02:39 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3076908,SURENDRA BEHERA,11-Sep-2025 08:41 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3081240,SURJYAKANTI PADHY,15-Sep-2025 01:51 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3068939,SUSANTA KUMAR PANDA,08-Sep-2025 01:46 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3064973,SUVENDU KUMAR PRADHAN,05-Sep-2025 08:30 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3081474,TRAJAN KUMAR JENA,15-Sep-2025 02:59 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
