S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3008687,AS CONSTRUCTION,22-Jul-2025 02:42 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3013983,ASIT MOHANTY,27-Jul-2025 09:17 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3012297,BAIDYANATH SWAIN,28-Jul-2025 03:28 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3015477,BAIKUNTHA NATHA DALAI,28-Jul-2025 04:44 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3004480,BANDANARANI BASTIA,25-Jul-2025 09:13 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3014803,BASANTA KUMAR BISWAL,28-Jul-2025 02:49 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3015085,BHRAMAR BARA BEHERA,28-Jul-2025 03:03 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3013068,BIBHU CHARAN MALLICK,26-Jul-2025 09:20 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3008751,BIKASH MOHANTY,22-Jul-2025 03:15 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3015310,BINODA PALAI,28-Jul-2025 03:55 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3013459,BISHWOJIT BISWAL,27-Jul-2025 01:25 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3010626,BISMAY KUMAR MALLA,24-Jul-2025 01:40 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3014761,BISWAJIT SARANGI,28-Jul-2025 02:06 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3015235,BISWARANJAN NAYAK,28-Jul-2025 03:29 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3014777,BRAJA KISHOR DAS,28-Jul-2025 01:43 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3005100,BRAJAKISHORE DAS,21-Jul-2025 09:51 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3010447,CHETAN ROUTRAY,23-Jul-2025 09:21 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3011371,CHOUDHURY ABHIJIT DAS,24-Jul-2025 10:29 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3009094,DEBABRAT SWAIN,22-Jul-2025 06:26 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3013546,DEBAKANTA MALLICK,27-Jul-2025 02:19 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3013663,DEBASHISH DAS,27-Jul-2025 04:30 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3014560,DEBASISH MOHANTY,28-Jul-2025 12:42 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3012811,DEBASIS PAUL,26-Jul-2025 05:26 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3002735,DIGAMBAR DASH,17-Jul-2025 09:59 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3014484,FABRICON,28-Jul-2025 03:46 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3015317,GOPAL KRUSHNA BISWAL,28-Jul-2025 04:42 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3014399,GYANATOYA PATTNAIK,28-Jul-2025 11:56 AM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3014243,Himansu Meher Singh,28-Jul-2025 09:10 AM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3013911,ITISHREE MOHANTY,27-Jul-2025 08:46 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3014743,JIBAN JYOTI PANDA,28-Jul-2025 01:12 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,3015020,JINESH KUMAR ROUT,28-Jul-2025 02:18 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,3015388,JITENDRA KUMAR SWAIN,28-Jul-2025 04:22 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,3009582,JITENDRIY NAYAK,25-Jul-2025 06:51 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3012646,JNANENDRA KUMAR SWAIN,26-Jul-2025 01:54 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,3007444,JYOTI RANJAN SWAIN,21-Jul-2025 05:06 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,3003148,KISHORE KUMAR MUDULI,18-Jul-2025 06:26 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,3012804,KISSAN RATHA,26-Jul-2025 05:10 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,3010664,LAXMIDHAR SWAIN,24-Jul-2025 12:36 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,3014283,LINGARAJ PARIDA,28-Jul-2025 10:11 AM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,3015060,MADHUSMITA TRIPATHY,28-Jul-2025 02:32 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,3012815,MAHESWAR BEHERA,26-Jul-2025 05:25 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,3011721,MITA SWAIN,25-Jul-2025 01:00 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,3013087,MRUTYUNJAYA DAS,26-Jul-2025 10:05 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,3014600,M/S ABHISEK MOHANTY,28-Jul-2025 12:26 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,3015399,M/S. AKHILESH SWAIN,28-Jul-2025 04:25 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,3015229,M/S.APARAJIRA DALAI,28-Jul-2025 03:36 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,3014971,MS MIHIR KUMAR BASTIA,28-Jul-2025 01:59 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
