S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2942803,Dhiraj Kumar Agrawal,30-May-2025 02:10 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2939984,ER. MOHIT KUMAR JAIN,29-May-2025 12:43 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2941662,Gajanan Agrawal,29-May-2025 10:06 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2940460,GAUTAM KUMAR AGRAWAL,30-May-2025 09:22 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2943807,GAUTAM KUMAR BEHERA,30-May-2025 04:55 PM,Rejected-Technical,Disqualified,10-Sep-2025 01:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2941463,GIRIDHARI LAL AGRAWAL,29-May-2025 08:46 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2937722,JAI BAJRANGBALI INFRA,28-May-2025 01:38 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2941981,JAYADEV SAHU,30-May-2025 07:33 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2942954,JAY PRAKASH SHARMA,30-May-2025 03:37 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2942184,JYOTIRAJ SAHU,30-May-2025 09:54 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2943638,KASHINATH MOHARANA,30-May-2025 04:07 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2941979,MANOJ KUMAR SAHU,30-May-2025 07:24 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2943367,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,30-May-2025 03:10 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2938333,"M/s Arnav Construction, Prop.Dibya Kishor Padhi",30-May-2025 09:42 AM,Rejected-Technical,Disqualified,10-Sep-2025 01:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2941473,M/s. DNS CONSTRUCTIONS,29-May-2025 11:41 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2941120,M/S HEMANTA AGRAWAL AND CO,29-May-2025 06:02 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2943521,M/S JAGADISH PRASAD AGRAWAL,30-May-2025 04:58 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2941482,M/s SHREE INFRA AND CO,29-May-2025 08:02 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2939938,M/S SHREE SHYAM INFRA PROP. SRI LOKESH SHARMA,29-May-2025 12:10 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2942276,M/S SRI OMI INFRA,30-May-2025 11:03 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2942223,NAKUL KUMAR AGRAWAL,30-May-2025 02:31 PM,Rejected-AOC,Rejected due not selected in lottery,13-Nov-2025 01:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2937539,Nikhil Agrawal,28-May-2025 01:52 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2943502,Niranjan Swain,30-May-2025 03:44 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2939264,NITESH KUMAR JAIN,28-May-2025 10:21 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2942076,OM CONSTRUCTIONS,30-May-2025 08:54 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2943240,PRAKASH KUMAR MOHANTY,30-May-2025 02:27 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2939690,Raghunandan Agrawal,30-May-2025 02:40 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,2939599,RAJESH AGRAWAL,29-May-2025 10:21 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2943753,R.B.S Constructions,30-May-2025 04:32 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2943048,RYTHAM AGRAWAL,30-May-2025 01:40 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2941760,SANDEEP ALOK BHOI,30-May-2025 11:25 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2940254,SANDEEP KUMAR BEHERA,30-May-2025 07:23 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2943323,Sarbajit Mund,30-May-2025 03:28 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2939738,SHREE BISWAKARMA INFRA,30-May-2025 08:22 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2941022,SHREE GANESHJEE CONSTRUCTION,29-May-2025 05:22 PM,Accepted-AOC,Accepted,13-Nov-2025 01:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2937980,SOURAV AGRAWAL,28-May-2025 02:19 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,2943001,SUDHIR KUMAR PANDA,30-May-2025 01:24 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2942397,SUGANDHA PANDA,30-May-2025 04:07 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,2942718,SUNIL KUMAR MUND,30-May-2025 01:08 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2928598,SURESH AGRAWAL AND CO,22-May-2025 07:15 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2937079,Tulsi Ram Agrawal,29-May-2025 10:21 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,2943790,UDAYA BHANU JENA,30-May-2025 04:57 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
