S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3011612,MAHENDRA SAHOO,28-Jul-2025 12:43 PM,Accepted-AOC,"The work is awarded to MAHENDRA SAHOO, as he is the winner of Transparent Lottery",03-Nov-2025 01:03 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3016459,MANOJ KUMAR KHATUA,29-Jul-2025 01:08 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3016818,Monalisha Mishra,29-Jul-2025 04:15 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3016031,MOTILAL ROUL,28-Jul-2025 11:42 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3016676,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,29-Jul-2025 03:24 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3016497,M/s. DNS CONSTRUCTIONS,29-Jul-2025 03:07 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3000828,MS L K BROTHERS INFRASTRUCTURE,19-Jul-2025 12:03 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3008579,M/s PMRT Construction,29-Jul-2025 01:12 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3014234,M/S RAJ KUMAR AGRAWAL,28-Jul-2025 09:36 PM,Rejected-Technical,The lease deed and ownership of Generator in the invoice are different,06-Sep-2025 06:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3015802,M/s SHREE INFRA AND CO,28-Jul-2025 07:41 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3014430,PANKAJ KUMAR AGRAWALLA,29-Jul-2025 01:06 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3015186,PRABIR PRABHUPADA ACHARYA,28-Jul-2025 03:47 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3015770,PRADEEP KUMAR BEHERA,28-Jul-2025 07:36 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3016384,PRADEEP KUMAR HOTA,29-Jul-2025 12:38 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3012882,PRASANTA KUMAR PRADHAN,26-Jul-2025 08:20 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3011334,PRITISH MISHRA,29-Jul-2025 01:23 AM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3013974,PUJARI CONSTRUCTION,29-Jul-2025 01:03 PM,Rejected-Technical,Insufficient capacity of Generator furnished. Required 33 KVA but furnished 7.5 KVA,06-Sep-2025 06:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3006597,RAJENDRA KUMAR CHAND,28-Jul-2025 08:05 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3004666,Ramnarayan Mishra,21-Jul-2025 10:28 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3013816,RUDRAMANI PODHA,28-Jul-2025 11:38 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3016200,SAMIR KUMAR MEHER,29-Jul-2025 11:49 AM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3003843,SANTANU KUMAR THATI,28-Jul-2025 11:38 AM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3016057,SAROJ KUMAR ROUL,28-Jul-2025 11:58 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3015908,Satyabrata Mishra,28-Jul-2025 08:48 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3016888,SUBHAM DAS,29-Jul-2025 04:58 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3014380,SUBHRANSU PANDA,28-Jul-2025 11:17 AM,Rejected-Technical,The lease deed and ownership of Generator in the invoice are different,06-Sep-2025 06:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3016318,SUMIT SINGHAL,29-Jul-2025 12:11 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3014941,Swadhin Kumar sahu,28-Jul-2025 01:50 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3010250,SWATI PRADHAN,23-Jul-2025 05:36 PM,Rejected-Technical,The lease deed of vibratory roller is expired,06-Sep-2025 06:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
