Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
,,,,,,,,,,,,,,,11,3205235,BISWANATH KHUNTIA,10-Nov-2025 11:47 AM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3211906,DEBASISH LENKA,11-Nov-2025 01:45 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3212230,DILLIP KUMAR PARIJA,11-Nov-2025 12:39 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,3209247,DILLIP KUMAR RAUTRAY,10-Nov-2025 06:03 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,15,3212904,JAYASHREE SWAIN,11-Nov-2025 02:04 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,16,3183868,KARUNAKAR BEHERA,05-Nov-2025 07:33 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,17,3212436,MADHUSMITA SWAIN,11-Nov-2025 12:58 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,18,3195790,MRUTYUNJAYA DAS,07-Nov-2025 10:58 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,19,3214318,NIHAR RANJAN JATTA,11-Nov-2025 05:17 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,20,3208881,NIHAR RANJAN JENA,10-Nov-2025 04:46 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,21,3211294,NIHAR RANJAN SAHOO,11-Nov-2025 10:49 AM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,22,3207060,PADMALOCHAN PRADHAN,10-Nov-2025 04:23 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,23,3214359,PRAMESH KUMAR SWAIN,11-Nov-2025 05:25 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,24,3191758,PRATISHRUTI PRIYADARSHINI,06-Nov-2025 10:44 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,25,3211258,RAJESH KUMAR PARIDA,11-Nov-2025 10:19 AM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,26,3210997,RANJIT KUMAR BEHERA,11-Nov-2025 08:50 AM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,27,3209224,RANJIT MOHANTY,10-Nov-2025 06:45 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,28,3213017,Saroj Kumar Mallick,11-Nov-2025 02:22 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,29,3193177,SATYAJIT BISWAL,07-Nov-2025 08:17 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,30,3209954,SHIBANI SANKAR ACHARYA,10-Nov-2025 09:35 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,31,3200998,SIVA SAMBHU ENGINEERING,11-Nov-2025 06:25 AM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,32,3212035,smruti ranjan senapati,11-Nov-2025 12:23 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,33,3195560,SOMAJIT LENKA,07-Nov-2025 09:28 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,34,3211304,SOURAV LENKA,11-Nov-2025 10:21 AM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,35,3211688,SUMANTA KUMAR SAHOO,11-Nov-2025 12:16 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,36,3211643,SUSOBHAN SAMANTARAY,11-Nov-2025 11:31 AM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,37,3198855,SWAPNA BIJAYINI MOHANTY,09-Nov-2025 09:01 AM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,38,3212136,TATHAGATA SUBUDHI,11-Nov-2025 12:33 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,39,3195450,TULU RANJAN MOHANTY,07-Nov-2025 08:47 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
