Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3250100,HARAMOHAN SAHU,24-Nov-2025 12:08 PM,Accepted-AOC,The work order has issued to the agency.,20-Jan-2026 03:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3254550,JAGANNATH ANDIA,25-Nov-2025 03:31 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3253625,JAYARAM DAS,25-Nov-2025 12:04 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3253161,LISARANI SINGHA,25-Nov-2025 10:40 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3250195,MAA TARINI FABRICATION,25-Nov-2025 03:54 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3252001,MADHUSMITA PAL,24-Nov-2025 06:43 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3252116,MOUSUMI BISWAL,24-Nov-2025 07:23 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3242671,PRADYUT KUMAR CHOUDHURY,20-Nov-2025 07:15 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3252788,Pramila Mohalik,25-Nov-2025 06:50 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3244511,PRASANTA KUMAR PRADHAN,21-Nov-2025 03:14 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3253515,PURNENDU KUMAR JENA,25-Nov-2025 12:07 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3253449,RAGHUNATH JENA,25-Nov-2025 11:41 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3243594,SANJAY KUMAR PARIDA,21-Nov-2025 12:05 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3243469,SARAT SAHU,21-Nov-2025 11:01 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3254794,SAROJ KUMAR PAL,25-Nov-2025 04:38 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3251764,SATYAJIT BEHERA,24-Nov-2025 05:40 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3243289,SATYAJIT SAHOO,21-Nov-2025 08:30 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3254672,SAUBHAGYA KUMAR PAL,25-Nov-2025 03:59 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3254454,SHASHANSHU SEKHAR GIRI,25-Nov-2025 03:21 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3249432,Subrat Kumar Panda,25-Nov-2025 06:59 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3242570,SUJAY KUMAR MANIK,20-Nov-2025 06:34 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3254398,SUJIT KUMAR JENA,25-Nov-2025 03:34 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3243786,SUMIT KUMAR BAUG,21-Nov-2025 12:37 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3248521,TARAKANTA JENA,25-Nov-2025 11:19 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3243269,UMESH NAYAK,21-Nov-2025 07:57 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
