S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2938211,KAMALAKANTA JENA,28-May-2025 04:12 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2931750,LAXMIDHAR SAHOO,26-May-2025 01:28 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2936622,LILIMA SAHOO,28-May-2025 11:20 AM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2932770,MANOJ KUMAR JENA,27-May-2025 06:25 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2929155,MANOJ KUMAR MISHRA,23-May-2025 08:31 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2934034,MANOJ KUMAR SWAIN,27-May-2025 02:41 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2927824,M/S DEEPAK KUMAR DAS,27-May-2025 06:38 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2929072,M/S GANESH PRASAD BHUTIA,25-May-2025 09:15 AM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2933384,M/S KRUSHNA CHANDRA BEHERA,26-May-2025 06:39 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2934726,M/S LMS ENTERPRISES,27-May-2025 12:19 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2932731,Namita Mohapatra,28-May-2025 10:54 AM,Accepted-AOC,Won the lottery,06-Jan-2026 05:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2933799,NAMRATA PRIYADARSHINI NAYAK,28-May-2025 10:34 AM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2932904,NIBEDITA NAYAK,26-May-2025 12:39 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2931936,NIRAJAN NAYAK,27-May-2025 06:01 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2931411,PADMINI SAHOO,26-May-2025 08:17 AM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2936603,PARSURAM PANDA,28-May-2025 11:22 AM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2932045,Pratap Kumar Biswal,25-May-2025 06:54 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2931740,PRAVATI NAYAK,28-May-2025 02:36 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2930573,RABINARAYAN PALLAI,27-May-2025 01:08 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2930025,SANGITA DHAL,24-May-2025 10:53 AM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2938344,SANGRAM KISHORE SAHOO,28-May-2025 04:02 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2931828,SANJUKTA MISHRA,26-May-2025 11:40 AM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2933224,Santosh Bharati,26-May-2025 02:54 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2931496,SHANTI SAHOO,26-May-2025 11:39 AM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2933117,SUBHENDRA KUMAR NAYAK,28-May-2025 11:52 AM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2932334,SUBHENDU KUMAR PATI,26-May-2025 07:48 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2934214,SUDHAKAR NAYAK,27-May-2025 11:40 AM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,2931676,SURESH KUMAR MOHANTY,26-May-2025 08:53 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2937667,SUSANTA KUMAR SAHOO,28-May-2025 01:35 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2930337,SUSMITA DAS,23-May-2025 05:35 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2934010,SWARNALATA BEURIA,27-May-2025 02:06 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2930507,UMAKANTA DAS,26-May-2025 08:46 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
