S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2941458,GIRIDHARI LAL AGRAWAL,30-May-2025 10:25 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2937824,JAI BAJRANGBALI INFRA,28-May-2025 01:53 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2941980,JAYADEV SAHU,30-May-2025 07:30 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2942918,JAY PRAKASH SHARMA,30-May-2025 03:35 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2942161,JYOTIRAJ SAHU,30-May-2025 09:56 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2924625,kamal kishor agrawal,30-May-2025 06:31 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2942648,Kapilesh Mund,30-May-2025 02:40 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2943614,KASHINATH MOHARANA,30-May-2025 04:02 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2941978,MANOJ KUMAR SAHU,30-May-2025 07:21 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2943747,Mohanlal Padhan,30-May-2025 04:40 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2943335,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,30-May-2025 03:08 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2938330,"M/s Arnav Construction, Prop.Dibya Kishor Padhi",30-May-2025 09:41 AM,Rejected-Technical,Disqualified,10-Sep-2025 01:43 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2941488,M/s. DNS CONSTRUCTIONS,29-May-2025 11:47 PM,Accepted-AOC,Agmt drawn,02-Jan-2026 07:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2943507,M/S JAGADISH PRASAD AGRAWAL,30-May-2025 04:55 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2942067,M/S RAMESH KUMAR AGRAWAL,30-May-2025 08:57 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2941465,M/s SHREE INFRA AND CO,29-May-2025 07:55 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2939972,M/S SHREE SHYAM INFRA PROP. SRI LOKESH SHARMA,29-May-2025 12:17 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2942178,M/S SRI OMI INFRA,30-May-2025 10:57 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2942218,NAKUL KUMAR AGRAWAL,30-May-2025 02:28 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2939274,NITESH KUMAR JAIN,28-May-2025 10:29 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2942062,OM CONSTRUCTIONS,30-May-2025 08:47 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2943418,PANKAJ KUMAR AGRAWAL,30-May-2025 03:26 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2943289,PRAKASH KUMAR MOHANTY,30-May-2025 02:39 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2943164,Rabindra Kumar Sahoo,30-May-2025 02:09 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2939678,Raghunandan Agrawal,30-May-2025 02:35 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,2943679,R.B.S Constructions,30-May-2025 04:26 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2943100,RUPESH AGRAWAL PROP. R S INFRA,30-May-2025 01:54 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2941752,SANDEEP ALOK BHOI,30-May-2025 11:20 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2940229,SANDEEP KUMAR BEHERA,30-May-2025 07:17 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2943285,Sarbajit Mund,30-May-2025 02:38 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2939713,SHREE BISWAKARMA INFRA,30-May-2025 08:19 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2941017,SHREE GANESHJEE CONSTRUCTION,29-May-2025 05:16 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2942093,SOURAV AGRAWAL,30-May-2025 09:02 AM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2938010,SOURAV AGRAWAL,28-May-2025 02:26 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,2929871,SS CONSTRUCTION,27-May-2025 06:14 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2942759,SUBHAM KUMAR AGRAWAL,30-May-2025 03:41 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,2942949,SUDHIR KUMAR PANDA,30-May-2025 01:15 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2942429,SUGANDHA PANDA,30-May-2025 03:39 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2942698,SUNIL KUMAR MUND,30-May-2025 12:58 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,2928593,SURESH AGRAWAL AND CO,22-May-2025 07:10 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 08:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
