S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2485497,LAXMI KANTA MOHAKUD,27-Mar-2024 12:48 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2485577,M/S BIG BUILD INFRASTRUCTURE & CO,27-Mar-2024 02:40 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2467546,MS MISRA CONSTRUCTION PVT LTD,12-Mar-2024 11:34 AM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2484655,M/S SANTOSH KUMAR KHANDELWAL,25-Mar-2024 01:37 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2485212,MS SHAKTIMAN BUILDERS,26-Mar-2024 09:37 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2485491,Ms SHREE RADHA KRISHNA INFRASTRUCTURE,27-Mar-2024 04:48 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2472903,RAJAN KUMAR GUPTA,11-Mar-2024 10:04 PM,Accepted-AOC,Awarded,21-Jan-2026 11:30 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2485377,RAJESH KUMAR MOHAPATRA,27-Mar-2024 02:48 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2486206,SAMBIT KUMAR LENKA,27-Mar-2024 02:35 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2486148,SARAT KUMAR SAMAL,27-Mar-2024 07:38 AM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2480590,SRI LINGARAJ PADHI,27-Mar-2024 01:05 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2485864,SUSANTA KUMAR BADHAI,27-Mar-2024 04:39 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2485489,TAPASH KUMAR SAHU,25-Mar-2024 10:46 AM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2484955,TARUN MOHANTY,27-Mar-2024 12:01 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
