S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3065940,CHITTA RANJAN BEHERA,06-Sep-2025 03:39 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3055257,DASARATHI TRIPATHY,29-Aug-2025 05:39 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3064748,DEBABRATA MISHRA,06-Sep-2025 01:13 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3065552,DINESH KUMAR PANY,06-Sep-2025 12:43 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3064293,DIPAK KUMAR JENA,05-Sep-2025 01:35 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3062092,gyanaranjan behera,03-Sep-2025 10:37 AM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3064439,Harihar Mahapatra,05-Sep-2025 09:22 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3064963,JAY DURGA BUILDCON PRIVATE LIMITED,05-Sep-2025 11:02 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3065363,JAY PRAKASH SHARMA,06-Sep-2025 02:15 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3057645,MAHAVIR BHOL,31-Aug-2025 03:11 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3064878,MALAYA RANJAN DALABEHERA,06-Sep-2025 08:55 AM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3064159,MANAS PANSARI,05-Sep-2025 12:24 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3064469,Manoj Kumar Mohapatra,05-Sep-2025 03:15 PM,Accepted-AOC,winner of the Lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3064295,MESSERS DAKSHYA CONSTRUCTION,05-Sep-2025 01:17 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3064967,Mohanlal Padhan,05-Sep-2025 10:25 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3060916,M/S. MAA TARA CONSTRUCTION,02-Sep-2025 02:26 PM,Rejected-AOC,not qualified for the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3065713,NILIMA MEHER,06-Sep-2025 01:51 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3065039,PADMANAV PUROHIT,05-Sep-2025 09:13 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3064134,PRADEEP KUMAR BEHERA,05-Sep-2025 12:33 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3063690,PRADEEP KUMAR GIRI,04-Sep-2025 05:51 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3063900,PRASANNAJIT NATH,04-Sep-2025 11:09 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3055292,PRIYADARSAN TRIPATHY,29-Aug-2025 06:00 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3058517,PROJOLITA DASH,01-Sep-2025 05:18 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3059667,RAJESH KUMAR BISWAL,01-Sep-2025 04:56 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3058485,RAJESH PANIGRAHI,01-Sep-2025 04:43 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3061145,RAKESH KUMAR SAHU,02-Sep-2025 05:11 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3065055,RAKESH MAHAPATRA,05-Sep-2025 10:31 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3065681,ROHAN DAS,06-Sep-2025 03:55 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3065089,RP INFRASTRUCTURE,05-Sep-2025 11:19 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3064734,SAMIR KUMAR MEHER,06-Sep-2025 03:15 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,3064351,SANDEEP KUMAR BEHERA,06-Sep-2025 02:28 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,3064818,SANJIB SUBHANKAR,05-Sep-2025 07:17 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,3064752,SATYABRATA MISHRA,05-Sep-2025 07:30 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3064789,SATYANARAYAN DAS,05-Sep-2025 08:29 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,3063583,SHASHI BHUSHAN MOHANTY,04-Sep-2025 04:19 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,3059928,SHREYANSH MALLICK,01-Sep-2025 06:42 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,3058455,SHUVRENDU PRASAD KHANDAI,01-Sep-2025 09:55 AM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,3064311,SMRUTI RANJAN BAL,05-Sep-2025 01:21 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,3063566,SOMANATH JENA,04-Sep-2025 06:22 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,3065822,SOMANATH MISHRA,06-Sep-2025 03:58 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,3066121,soumyakanta sahoo,06-Sep-2025 04:46 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,3065870,SUBASH CHANDRA RAUTARAY,06-Sep-2025 03:05 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,3048881,SUDHANSU SEKHAR NANDA,01-Sep-2025 07:50 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,3063886,Suryanarayan Nath,04-Sep-2025 10:42 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,3064040,TANMAYA BISWAL,05-Sep-2025 11:23 AM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,3065320,TANUSHREE MAHAPATRA,06-Sep-2025 12:16 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,3063175,Umakanta Prusty,04-Sep-2025 02:52 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
