S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
,,,,,,,,,11,3142636,BISHNUPRASAD ROUT,22-Oct-2025 01:39 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,12,3156431,BISWARANJAN ROUTRAY,26-Oct-2025 10:41 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,13,3155005,CHITA RANJAN PARIDA,26-Oct-2025 04:47 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,14,3151992,CHITTA RANJAN MOHANTY,26-Oct-2025 06:32 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,15,3151628,DEBASMITA MISHRA,27-Oct-2025 10:58 AM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,16,3147082,DEVIPRASAD DASH,24-Oct-2025 08:13 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,17,3160378,DEVI PRASAD RANA,27-Oct-2025 04:57 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,18,3155803,DUKHISHYAMA MOHANTY,26-Oct-2025 07:44 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,19,3138182,FAKIR MOHAN DALEI,20-Oct-2025 02:34 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,20,3159355,FIROZ KHAN,27-Oct-2025 02:53 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,21,3146260,GOBINDA CHANDRA BISWAL,23-Oct-2025 04:59 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,22,3147292,GYANA RANJAN DASH,25-Oct-2025 01:11 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,23,3151326,HARAPRIYA SAHOO,25-Oct-2025 04:00 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,24,3140334,JANARDAN NAYAK,22-Oct-2025 11:56 AM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,25,3152915,JITENDRA KUMAR DASH,26-Oct-2025 05:56 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,26,3148484,JYOTIRANJAN BEHERA,24-Oct-2025 09:29 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,27,3139551,KABIR KAHANR,21-Oct-2025 01:05 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,28,3147384,KALYANI PRADHAN,25-Oct-2025 01:00 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,29,3143965,LAXMIPRIYA MALIK,22-Oct-2025 07:49 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,30,3147493,MAHABIR PRASAD DASH,24-Oct-2025 08:32 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,31,3150173,MAKABULU KHAN,25-Oct-2025 11:54 AM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,32,3155107,MANAS KUMAR BEHERA,26-Oct-2025 05:14 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,33,3150333,MANAS RANJAN BEHERA,26-Oct-2025 12:26 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,34,3159895,MANORANJAN BEHERA,27-Oct-2025 03:53 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,35,3150258,MINATI MOHAPATRA,25-Oct-2025 08:26 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,36,3147908,PRABHU PRASAD PATI,24-Oct-2025 09:59 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,37,3158046,PRADIP KUMAR SAHOO,27-Oct-2025 11:44 AM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,38,3159731,PRADOSH DATTA PUHAN,27-Oct-2025 03:27 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,39,3150290,PRAKASH MOHAPATRA,25-Oct-2025 08:55 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,40,3156613,PRASANT KUMAR GURU,27-Oct-2025 01:32 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,41,3135878,PRATAPCHANDRA BEHERA,20-Oct-2025 01:44 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,42,3147537,"RAAZ CONSTRUCTION, PROPRIETOR-BALESWAR ROUT",25-Oct-2025 06:40 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,43,3150429,RABINDRA NATH SAHOO,26-Oct-2025 06:14 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,44,3150143,RADHAMADHAB SAHOO,25-Oct-2025 12:09 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,45,3160291,RAJESH KUMAR PRADHAN,27-Oct-2025 04:43 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,46,3158869,SAKTI PRASAD BEHERA,27-Oct-2025 01:18 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,47,3153264,SANJEET KUMAR BEHERA,26-Oct-2025 08:36 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,48,3149355,SANTOSH KUMAR SWAIN,24-Oct-2025 08:07 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,49,3158295,SAROJ KUMAR SAHOO,27-Oct-2025 01:11 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,50,3138621,SASMITA DALEI,20-Oct-2025 07:16 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,51,3159240,SHASWAT SAUBHAGYA RANJAN,27-Oct-2025 02:32 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,52,3152189,SOUMYARANJAN PRUSTY,25-Oct-2025 06:38 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,53,3149466,SUBASH CHANDRA ROUT,25-Oct-2025 06:52 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,54,3152059,SUBHAKANKHEE MISHRA,26-Oct-2025 05:43 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,55,3153285,Subham Prasad Behera,26-Oct-2025 06:51 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,56,3154602,SUBHENDU KUMAR ROUT,26-Oct-2025 02:30 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,57,3141838,SUDARSHAN MAHARANA,23-Oct-2025 12:40 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,58,3151730,SUJIT KUMAR MISHRA,27-Oct-2025 11:10 AM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,59,3150459,SURENDRA KUMAR PRADHAN,25-Oct-2025 12:48 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,60,3152246,SURENDRA KUMAR SAHOO,27-Oct-2025 01:02 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,61,3149588,SURYA KANTA RATHA,25-Oct-2025 07:14 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
