Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
,,,,,,,,,,,,,,,,,,,,,12,3169035,Debadatta behera,30-Oct-2025 11:20 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,13,3184346,DEBASHIS BARIK,06-Nov-2025 11:28 AM,Accepted-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,14,3169208,DIBYARANJAN SALANGI,06-Nov-2025 09:12 AM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,15,3181463,JASHABANTA BHOI,06-Nov-2025 01:41 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,16,3186088,JASHIBIKASH MARNDI,05-Nov-2025 08:04 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,17,3176470,JYOTI PRAKASH MOHANTY,06-Nov-2025 07:11 AM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,18,3180626,MANOJ KUMAR SHAW,04-Nov-2025 04:03 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,19,3179475,MUKESH KUMAR BEHERA,04-Nov-2025 08:23 AM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,20,3172713,PATITAPABAN NAIK,01-Nov-2025 05:18 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,21,3177646,PRAHALLAD BEHERA,03-Nov-2025 05:46 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,22,3184514,Prasanna Biswal,05-Nov-2025 02:46 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,23,3175186,RISHI SWAMI,02-Nov-2025 07:23 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,24,3183711,Sangram Parida,05-Nov-2025 12:30 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,25,3184453,SANJAY KUMAR JENA,05-Nov-2025 02:28 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,26,3184593,SATYABRATA BEHERA,06-Nov-2025 03:40 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,27,3189000,SATYAGOPAL MOHAPATRA,06-Nov-2025 03:22 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,28,3188574,SATYAJIT JENA,06-Nov-2025 03:11 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,29,3187552,SATYAPRAKASH PRADHAN,06-Nov-2025 11:26 AM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,30,3167318,SAUMYA RANJAN BEHERA,30-Oct-2025 03:51 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,31,3174727,SIBAYA SAMBIT NAYAK,04-Nov-2025 08:05 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,32,3183288,SOURAV PALATA,06-Nov-2025 10:40 AM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,33,3177511,SRI BALARAM LENKA,03-Nov-2025 02:02 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,34,3176715,SRI BISWAJIT PRADHAN,05-Nov-2025 02:44 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,35,3171732,Sri Prakash Kumar Parida,01-Nov-2025 12:01 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,36,3185655,SRI SUNIL KUMAR LENKA,05-Nov-2025 06:50 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,37,3172534,SRI TAPAN KUMAR PATI,01-Nov-2025 04:08 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,38,3166753,SRUTIRANJAN BEHERA,29-Oct-2025 07:34 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,39,3178047,SUVENDU KUMAR MOHANTY,03-Nov-2025 04:07 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,40,3180835,UMESH CHANDRA BEHERA,06-Nov-2025 04:35 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
