S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3036507,MADHUSMITA JENA,14-Aug-2025 09:32 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3041264,MAHAVIR CONSTRUCTION,19-Aug-2025 01:43 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3039366,NAMITA JENA,17-Aug-2025 08:27 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3036520,NARAYAN SAHOO,14-Aug-2025 09:48 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3041231,NISHIKANTA SUTAR,19-Aug-2025 01:23 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3038354,PRADEEP KUMAR MALIK,16-Aug-2025 02:33 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3039352,PRADOSH KUMAR JENA,17-Aug-2025 08:36 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3041433,PRASANTA KUMAR NAYAK,19-Aug-2025 03:10 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3040851,PRAVAT KUMAR PANDA,19-Aug-2025 11:38 AM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3033664,PRITESH KUMAR ROUT,12-Aug-2025 04:48 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3040459,P. TARINI PRASAD,18-Aug-2025 07:27 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3039096,PURNA CHANDRA NAYAK,17-Aug-2025 01:28 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3037215,PUSPANJALI PATRA,15-Aug-2025 06:43 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3040825,RAJASHREE CHAKRA,18-Aug-2025 11:43 PM,Accepted-AOC,Won the bid in lottery process,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3034810,RAJENDRA KHUNTIA,13-Aug-2025 03:53 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3041355,Rajesh kumar sethy,19-Aug-2025 02:29 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3034382,RANJAN KUMAR SWAIN,13-Aug-2025 11:44 AM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3033845,RASMI RANJAN PATRA,12-Aug-2025 07:13 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3040652,RATHA KISHORE SAHOO,18-Aug-2025 08:37 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3041509,SAGARIKA GIRI,19-Aug-2025 03:51 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3033556,SANATAN MAJHI,12-Aug-2025 04:40 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3040838,SANYASI KUMAR GHADEI,18-Aug-2025 11:52 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3035999,SARAT NAYAK,14-Aug-2025 08:22 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3040499,SAROJINI JENA,18-Aug-2025 06:30 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3037936,SHRIKANTA KUMAR PATRA,16-Aug-2025 11:51 AM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3041318,SISIR KUMAR BHUYAN,19-Aug-2025 02:02 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3040395,SNEHALATA BHUYAN,18-Aug-2025 04:58 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3040801,SOMALIPA MOHANTY,19-Aug-2025 10:25 AM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,3041511,Sri Jagannath Agency and Consultancy Service,19-Aug-2025 03:55 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,3039796,SRIKANTA BHUYAN,18-Aug-2025 11:58 AM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,3041033,SRI RAMA CHANDRA ROUT,19-Aug-2025 11:38 AM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3041528,Sudhansu Kumar Dhal,19-Aug-2025 04:04 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,3039170,SUDIP KUMAR SETHY,17-Aug-2025 09:17 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,3040707,SURENDRA KUMAR SAHOO,18-Aug-2025 09:40 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,3038849,YUDHISTHIR PRADHAN,16-Aug-2025 09:23 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
