S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2968313,GUNTAMUKALA GOWRI SANKAR RAO,16-Jun-2025 12:26 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2966964,Jagadish Kumar Sahu,14-Jun-2025 08:33 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2971859,JALANDHAR BACHELI,18-Jun-2025 12:10 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2972384,KARUNAKAR NAIK,18-Jun-2025 04:46 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2970180,krishna ch panda,17-Jun-2025 04:05 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2971216,MENAKA BISOYI,17-Jun-2025 07:28 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2970326,M R SALES,17-Jun-2025 10:57 AM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2968678,NANDA KISHOR PRASAD CHOURASIA,16-Jun-2025 07:17 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2972254,PITTALA YAMUNA,18-Jun-2025 03:33 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2970556,PRADEEPTA DASH,17-Jun-2025 01:19 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2971411,PRASANTI PALAKIA,17-Jun-2025 10:01 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2968464,RAINA KADRAKA,17-Jun-2025 11:55 AM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2966481,RAJESH PANDA,14-Jun-2025 11:21 AM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2971096,RAJ KUMAR CHOURASIA,18-Jun-2025 08:28 AM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2968187,RASMITA SAHUKAR,16-Jun-2025 10:55 AM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2964582,RAWALA MAJHI,12-Jun-2025 05:33 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2971213,SABITA MISHRA,17-Jun-2025 07:26 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2963879,SANGEETA SAHU,13-Jun-2025 12:21 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2960976,SANGRAM KESHAR PATNAIK,11-Jun-2025 10:53 AM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2964314,SUBHAM PANIGRAHI,12-Jun-2025 03:54 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2966427,SUGYANI PADHI,14-Jun-2025 10:22 AM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2965508,TANMAYA MOHAPATRO,13-Jun-2025 01:25 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2967192,TIRUPATI PRASAD PANIGRAHI,15-Jun-2025 10:23 AM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2963548,UMESH KUMAR JENA,12-Jun-2025 12:45 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
