Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,11,2999100,GAGAN BIHARI PRADHAN,14-Jul-2025 03:17 PM,Rejected-Technical,Dis-Qualify,20-Sep-2025 04:47 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,12,2999456,MAHESWAR CHAKRA,14-Jul-2025 06:51 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,13,2999474,MIHIR KUMAR SAHU,14-Jul-2025 07:33 PM,Rejected-Technical,DIS-QUALIFY,20-Sep-2025 04:47 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,14,2996457,PARAMESWAR SENAPATI,11-Jul-2025 04:06 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,15,2997058,PRADEEP KUMAR PATRA,12-Jul-2025 11:55 AM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,16,2997426,PRASANT KUMAR SAHU,12-Jul-2025 06:31 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,17,2997349,PRATIMA PARIDA,12-Jul-2025 09:07 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,18,3000511,PRAVATI SAHOO,16-Jul-2025 10:04 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,19,3000652,RANJAN KUMAR BEJ,17-Jul-2025 02:20 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,20,3001913,RASHMIRANJAN MOHAPATRA,17-Jul-2025 11:51 AM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,21,3001715,RASHMITA ROUT,17-Jul-2025 04:35 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,22,2998351,RASMILATA PALEI,13-Jul-2025 09:02 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,23,3001539,RATHA KISHORE SAHOO,16-Jul-2025 08:58 PM,Rejected-Technical,dis-qualify,20-Sep-2025 04:47 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,24,3001247,RITESH KUMAR THAMB,16-Jul-2025 11:20 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,25,2997413,SAROJINI JENA,13-Jul-2025 07:45 AM,Rejected-Technical,dis -qualified,20-Sep-2025 04:47 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,26,3001949,SISIR KUMAR BHUYAN,17-Jul-2025 01:52 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,27,2998449,SRI RAMA CHANDRA ROUT,14-Jul-2025 12:46 PM,Rejected-Technical,Dis-Qualify,20-Sep-2025 04:47 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,28,2997814,SUDHIR KUMAR SWAIN,13-Jul-2025 02:05 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,29,3000322,SUKADEV MAHANTA,16-Jul-2025 07:40 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,30,3001489,SURESH CHANDRA DALANAYAK,16-Jul-2025 09:57 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,31,3001798,TIKI RANI PUHAN,17-Jul-2025 12:08 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,32,2996625,YASHOBANTA PATRA,11-Jul-2025 06:14 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
