Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,11,2789039,Manoranjan Mohanty,31-Jan-2025 06:38 AM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,12,2791423,NILAMADHABA BEHERA,31-Jan-2025 02:35 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,13,2778186,PITAMBER NAYAK,28-Jan-2025 05:15 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,14,2790456,Ratikanta Nayak,30-Jan-2025 08:58 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,15,2790245,Rudra Narayan Nayak,31-Jan-2025 07:46 AM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,16,2778287,Sagar Ranjan Sahu,26-Jan-2025 01:06 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,17,2789867,SASHIKANTA SETHI(S.C),30-Jan-2025 04:23 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,18,2790765,Sasikanta Das,31-Jan-2025 07:05 AM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,19,2769371,Shyam Sundar Mohanty,30-Jan-2025 08:46 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,20,2781569,SMRUTI RANJAN DASH,27-Jan-2025 07:35 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,21,2790675,SMRUTI REKHA MOHANTY,31-Jan-2025 12:06 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,22,2788741,SOUBHAGYASRI DEVIPRASAD BEHERA (S.C.),30-Jan-2025 11:50 AM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,23,2789514,TAPAN KUMAR NAYAK,30-Jan-2025 03:03 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,24,2790685,TRUPTIMAYEE SWAIN,31-Jan-2025 12:25 AM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
