Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2546058,MITALI MAHAKHUD,16-Sep-2024 11:06 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2541299,NARESH KUMAR DAS,11-Sep-2024 08:06 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2541312,NEMICHAND AGRAWAL,11-Sep-2024 07:11 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2540160,NIHAR RANJAN MANGARAJ,04-Sep-2024 07:41 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2543806,N.SURESH,17-Sep-2024 07:05 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2547396,PARAMANANDA SAHU,15-Sep-2024 06:29 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2549449,PRANGYA PRIYAMBIKA THAKUR,16-Sep-2024 09:58 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2546128,PRITAM KUMAR NEGI,13-Sep-2024 07:05 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2549225,Priyabrata Patra,17-Sep-2024 10:09 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2548645,PUSPANJALI BABU,17-Sep-2024 05:12 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2548064,RADHAKANTA SETH,15-Sep-2024 12:47 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2541274,RAJESH DAS,11-Sep-2024 07:43 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2550165,RAJ KISHOR BHOI,17-Sep-2024 03:33 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2549068,Rama Chandra Padhan,17-Sep-2024 06:11 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2547245,RATHA MEHER,14-Sep-2024 12:29 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2540701,Sachidananda Majhi,16-Sep-2024 11:49 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2550369,SANTOSH KUMAR SAHU,17-Sep-2024 03:39 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2547322,SAROJ KANTA NAIK,14-Sep-2024 11:43 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2551045,SATRUGHAN SATAPATHY,17-Sep-2024 05:16 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2542161,SHASHI BHUSAN PRAHARAJ,07-Sep-2024 01:28 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2548007,SIBA SHANKAR GOPAL,16-Sep-2024 06:00 PM,Rejected-Technical,disqualified,30-Sep-2024 05:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2548938,SIMA BEHERA,16-Sep-2024 04:00 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2541622,SUDHANSU SEKHAR BEHERA,05-Sep-2024 09:06 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2546953,SUPRIYA DASH,14-Sep-2024 06:23 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2546412,SUSANTA KUMAR BODKIA,13-Sep-2024 09:20 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2550901,TAPAS KUMAR KHATUA,17-Sep-2024 04:29 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2547701,TRIGAT SAHU,15-Sep-2024 01:22 PM,Accepted-AOC,AOC,14-Jun-2025 01:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,38,2548873,UPENDRA KUMAR BHOI,17-Sep-2024 07:11 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
