Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,11,2797846,B. K. Construction Co.,04-Feb-2025 10:40 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,12,2794222,Chandrakant Singh Thakur,05-Feb-2025 09:42 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,13,2798912,CH SUBASH CHANDRA PATRO,05-Feb-2025 02:22 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,14,2799060,DEBESWA DATT MEHER,05-Feb-2025 03:22 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,15,2793557,ER. MOHIT KUMAR JAIN,02-Feb-2025 01:35 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,16,2794313,GOPAL CHANDRA SAHU,03-Feb-2025 06:15 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,17,2794189,HAZI MOHAMMAD SAKIL,03-Feb-2025 11:08 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,18,2798102,HEMANTA KUMAR PRADHAN,05-Feb-2025 10:41 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,19,2798813,HITESH AGRAWAL,05-Feb-2025 02:22 PM,Rejected-Technical,Undertaking for Installation of Hotmix Plant within 60 km not furnished,21-Apr-2025 02:13 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,20,2795518,JAI BAJRANGBALI INFRA,03-Feb-2025 06:54 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,21,2795356,JAY PRAKASH SHARMA,04-Feb-2025 07:44 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,22,2793939,KAMALA AGRAWAL,03-Feb-2025 02:00 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,23,2795677,LALAN PRASAD GUPTA,04-Feb-2025 11:44 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,24,2798013,Laxmi Chand Mittal,05-Feb-2025 12:37 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,25,2791500,MAHAMMED RIZWAN,31-Jan-2025 05:21 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,26,2798231,MAHESH CHOUDHURY,05-Feb-2025 10:51 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,27,2791325,MD. ILIYAS,31-Jan-2025 05:32 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,28,2795854,m/s Anand Kumar Agrawal,03-Feb-2025 10:16 PM,Rejected-Technical,Undertaking for Installation of Hotmix Plant within 60 km not furnished,21-Apr-2025 02:13 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,29,2791529,"M/s Arnav Construction, Prop.Dibya Kishor Padhi",31-Jan-2025 07:07 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,30,2798373,M/S G R Construction,05-Feb-2025 12:32 PM,Rejected-Technical,Undertaking for Installation of Hotmix Plant within 60 km not furnished,21-Apr-2025 02:13 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,31,2798552,M/S HEMANTA AGRAWAL AND CO,05-Feb-2025 12:50 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,32,2795337,M/S HEMANTA KUMAR SHARMA,04-Feb-2025 07:09 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,33,2794245,M/s.PREM NATH SAHU,05-Feb-2025 10:21 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,34,2799365,M/S RAJ KUMAR AGRAWAL,05-Feb-2025 04:46 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,35,2797242,M/S S R CONSTRUCTIONS,05-Feb-2025 11:17 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,36,2793845,M/S SRI OMI INFRA,02-Feb-2025 05:14 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,37,2784085,MUKESH KUMAR AGRAWAL,03-Feb-2025 09:43 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,38,2795997,NANU AGRAWAL,05-Feb-2025 04:22 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,39,2798586,Nikhil Agrawal,05-Feb-2025 12:35 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,40,2799152,NILESH KUMAR AGRAWAL,05-Feb-2025 03:51 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,41,2798035,NITESH KUMAR JAIN,05-Feb-2025 08:45 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,42,2797589,OM CONSTRUCTIONS,04-Feb-2025 08:18 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,43,2797861,PRABIN KUMAR KUANR,04-Feb-2025 10:58 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,44,2798046,PRADEEP KUMAR HOTA,05-Feb-2025 01:08 PM,Rejected-Technical,Insufficient Work Experience in Similare Nature of work,21-Apr-2025 02:13 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,45,2797650,Prem Chand Jain,04-Feb-2025 09:58 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,46,2797991,PRIYANKA AGRAWAL,05-Feb-2025 11:49 AM,Rejected-Technical,Undertaking for Installation of Hotmix Plant within 60 km not furnished,21-Apr-2025 02:13 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,47,2794097,Raghunandan Agrawal,04-Feb-2025 09:50 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,48,2798886,RAJESH KUMAR MAHANA,05-Feb-2025 01:56 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,49,2797411,RAM KUMAR SAHU,05-Feb-2025 11:12 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,50,2794196,Ramnarayan Mishra,03-Feb-2025 10:12 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,51,2782546,Rekha Singhal,28-Jan-2025 08:14 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,52,2798077,ROHIT KUMAR AGRAWAL,05-Feb-2025 10:10 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,53,2793175,SAMEERKANTA PANDA,03-Feb-2025 04:10 PM,Rejected-Technical,Information on Work in Hand in complete shape not furnished,21-Apr-2025 02:13 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,54,2797687,SANANDA THAKUR,04-Feb-2025 09:46 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,55,2796679,SANJAYA KUMAR AGRAWAL,04-Feb-2025 04:41 PM,Accepted-AOC,Success in lottery system,30-Jun-2025 04:33 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,56,2799079,sarasi pati,05-Feb-2025 03:04 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,57,2799108,SHASHIRAM MANGARAJ,05-Feb-2025 03:31 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,58,2796417,SHREE BISWAKARMA INFRA,04-Feb-2025 06:45 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,59,2798238,SHREE GANESHJEE CONSTRUCTION,05-Feb-2025 11:39 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,60,2793674,SOBIKA AGRAWAL,04-Feb-2025 08:14 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
