Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
,,,,,,,,,,,,,,,,11,2872025,M/S JAGABALIA ENTERPRISES,28-Mar-2025 01:58 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,2864925,M/S KALYAN KUMAR ROUTRAY,25-Mar-2025 11:38 AM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,2868446,M/S KRUSHNA CHANDRA BEHERA,27-Mar-2025 03:58 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,2868417,M/S LMS ENTERPRISES,25-Mar-2025 08:17 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,15,2868944,M/S MAA BIRAJA TRADERS,28-Mar-2025 01:31 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,16,2871487,M/S PARSURAM NAYAK,28-Mar-2025 11:35 AM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,17,2872792,M/S SIDHARTH CONSTRUCTION,29-Mar-2025 09:12 AM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,18,2868880,M/S UPENDRA PARIDA,29-Mar-2025 02:02 AM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,19,2870070,PRAVATI NAYAK,27-Mar-2025 06:20 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,20,2872370,"RENUBALA NAYAK,PROP.-GLOBAL TRADERS",28-Mar-2025 05:24 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,21,2867958,SANGITA DHAL,28-Mar-2025 07:26 AM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,22,2873376,SANGRAM KISHORE SAHOO,29-Mar-2025 04:04 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,23,2872519,SASHI REKHA PARIDA,28-Mar-2025 08:02 PM,Accepted-AOC,Won the lottery,25-Jun-2025 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,24,2871334,SHANTI SAHOO,28-Mar-2025 04:51 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,25,2870049,SNEHASIS SOURAV SAMANTARAY,28-Mar-2025 07:45 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,26,2871317,SUBHENDU KUMAR PATI,27-Mar-2025 09:13 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,27,2872736,SUJATA PATI,29-Mar-2025 12:42 AM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,28,2870182,SURESH KUMAR MOHANTY,27-Mar-2025 10:38 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,29,2868572,UMAKANTA DAS,28-Mar-2025 06:41 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
