Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2549685,DHABALESWAR NAIK,17-Sep-2024 10:41 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2549275,DOLAMANI CHOUDHURY,16-Sep-2024 08:07 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2547591,GHANASHYAM SAHU,15-Sep-2024 07:04 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2549007,Jagnyasen Panda,17-Sep-2024 05:39 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2549053,Kunjabana Sahu,17-Sep-2024 05:28 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2548585,MAA MANGALA TRADERS,16-Sep-2024 01:42 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2547942,MALATI MAHALA,14-Sep-2024 10:35 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2549763,MANOJ KUMAR BAG,17-Sep-2024 03:16 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2549374,MEENA DEVI,17-Sep-2024 12:48 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2546062,MITALI MAHAKHUD,16-Sep-2024 11:08 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2541300,NARESH KUMAR DAS,11-Sep-2024 08:09 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2541314,NEMICHAND AGRAWAL,11-Sep-2024 07:13 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2540161,NIHAR RANJAN MANGARAJ,04-Sep-2024 07:43 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2543809,N.SURESH,17-Sep-2024 07:08 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2547398,PARAMANANDA SAHU,15-Sep-2024 06:30 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2549450,PRANGYA PRIYAMBIKA THAKUR,16-Sep-2024 10:01 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2546130,PRITAM KUMAR NEGI,13-Sep-2024 07:07 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2549227,Priyabrata Patra,17-Sep-2024 10:10 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2548067,RADHAKANTA SETH,15-Sep-2024 12:51 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2541277,RAJESH DAS,11-Sep-2024 07:45 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2550176,RAJ KISHOR BHOI,17-Sep-2024 03:37 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2544934,Rama Chandra Padhan,13-Sep-2024 07:27 AM,Accepted-AOC,AOC,14-Jun-2025 12:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2547249,RATHA MEHER,14-Sep-2024 12:40 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2540703,Sachidananda Majhi,16-Sep-2024 11:51 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2550384,SANTOSH KUMAR SAHU,17-Sep-2024 03:41 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2547325,SAROJ KANTA NAIK,14-Sep-2024 11:45 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2551052,SATRUGHAN SATAPATHY,17-Sep-2024 05:20 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,38,2550099,SHARAT KUMAR SAHU,17-Sep-2024 02:14 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2542170,SHASHI BHUSAN PRAHARAJ,07-Sep-2024 01:29 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2548009,SIBA SHANKAR GOPAL,16-Sep-2024 06:03 PM,Rejected-Technical,Disqualified,30-Sep-2024 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2548924,SIMA BEHERA,16-Sep-2024 03:59 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2547757,Sobhabati Meher,14-Sep-2024 05:31 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2550345,SOUMYA RANJAN GAHIR,17-Sep-2024 01:57 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2541623,SUDHANSU SEKHAR BEHERA,05-Sep-2024 09:12 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2546956,SUPRIYA DASH,14-Sep-2024 06:25 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2546411,SUSANTA KUMAR BODKIA,13-Sep-2024 09:17 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,47,2542182,SWARNALATA RATH,07-Sep-2024 01:08 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2550917,TAPAS KUMAR KHATUA,17-Sep-2024 04:35 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,49,2547702,TRIGAT SAHU,15-Sep-2024 01:24 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2548885,UPENDRA KUMAR BHOI,17-Sep-2024 07:12 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
