Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
,,,,,,,,,,,,,,,11,2156381,DILLIP KUMAR MISHRA,07-Jun-2023 11:41 AM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,2155945,DILLIP KUMAR RAUTRAY,07-Jun-2023 12:19 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,2153425,DUSHMANTA KUMAR SWAIN,03-Jun-2023 02:40 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,2156723,GANESH BISWAL,07-Jun-2023 03:35 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,15,2156427,GANESWAR BEHERA,07-Jun-2023 12:10 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,16,2154690,GITANJALI SWAIN,05-Jun-2023 05:12 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,17,2156485,JIBAN JYOTI PANDA,07-Jun-2023 02:34 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,18,2154677,JYOTIRMAYEE SENAPATI,07-Jun-2023 11:30 AM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,19,2156506,KISHOR KUMAR SWAIN,07-Jun-2023 01:02 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,20,2156361,LOKANATH SAHOO,07-Jun-2023 11:27 AM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,21,2155962,MAHESWAR SAHOO,07-Jun-2023 12:14 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,22,2156156,MANAS BISWAL,07-Jun-2023 11:53 AM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,23,2152735,M/S JAYA BEHERA,07-Jun-2023 03:13 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,24,2155527,N CHHATOI GULSON NANDA,07-Jun-2023 05:25 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,25,2156335,PRADEEPTA BADAJENA,07-Jun-2023 11:26 AM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,26,2156878,PRAGNYA PARAMITA PRIYADARSINI,07-Jun-2023 05:15 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,27,2156672,PRATIMA BADAJENA,07-Jun-2023 03:39 PM,Accepted-AOC,Win the transparent lottery,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,28,2156688,PUSPANJALI CHAMPATI,07-Jun-2023 03:08 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,29,2154055,RABINDRA KUMAR SUPAKAR,05-Jun-2023 02:27 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,30,2154669,RAJESH KUMAR BISOI,06-Jun-2023 04:02 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,31,2153908,RAJESH MOHANTY,07-Jun-2023 02:15 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,32,2154691,RAMACHANDRA SAMANTA SINGHAR,05-Jun-2023 05:44 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,33,2152605,SADHU CHARAN JENA,05-Jun-2023 12:40 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,34,2156556,SANJIB KUMAR MALLICK,07-Jun-2023 05:23 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,35,2152922,SASANKA SEKHAR JENA,05-Jun-2023 11:53 AM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,36,2156815,SHAKTI PRASAD DASH,07-Jun-2023 04:27 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,37,2156115,SURYA PRASAD BEHERA,07-Jun-2023 04:28 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
