object_id,mean_sex_ratio
21-381-03342,0.9268677405142254
21-381-03343,0.9254996870890292
21-381-03344,0.9277977237861522
21-381-03345,0.9257126221013336
21-382-03394,0.9563737789284216
21-382-03395,0.9604823554266392
21-382-03396,0.9606159038925082
21-382-03397,0.9599568768054456
21-382-03398,0.9614874995439476
21-382-03399,0.960027947976308
21-382-03400,0.9600535244421484
21-382-03401,0.9599856296758468
21-382-03402,0.9599594330356178
21-382-03403,0.9558264233564469
21-383-03349,0.9349610417909034
21-383-03350,0.9321950876753736
21-383-03351,0.9324294908535092
21-383-03352,0.9316736862657544
21-383-03353,0.9321976214950372
21-383-03354,0.9341102720557652
21-383-03355,0.9321952414864836
21-383-03356,0.9321976911342524
21-384-03276,0.9249176150184384
21-384-03277,0.9249364793780545
21-384-03278,0.9250077292178004
21-384-03279,0.9254695748011972
21-384-03280,0.9249182669725458
21-384-03281,0.924944697753173
21-384-03282,0.93519975669398
21-384-03283,0.9250440838969516
21-385-03523,0.9061294298881476
21-385-03524,0.9056593961260756
21-385-03525,0.9059093391946036
21-385-03526,0.9047268478695694
21-385-03527,0.9047302952452853
21-385-03528,0.958014549563854
21-385-03529,0.9046152498616646
21-385-03530,0.905436443606576
21-386-03456,0.9206490803700202
21-386-03457,0.914501795572086
21-386-03458,0.9128499579870856
21-386-03459,0.91314030961152
21-386-03460,0.916914029754225
21-386-03461,0.9121481706095504
21-386-03462,0.9148637892785366
21-386-03463,0.9143286204360476
21-386-03464,0.9132094916393144
21-386-03465,0.9153329880772254
21-387-03536,0.9517128791497136
21-387-03537,0.9511640541997918
21-387-03538,0.9499961267838638
21-387-03539,0.951081919306192
21-387-03540,0.9511705008150084
21-387-03541,0.9448231907486716
21-387-03542,0.9496368587144683
21-387-03543,0.9505608207671802
21-387-03544,0.9498707421562362
21-387-03545,0.9511640375706452
21-387-03546,0.9511662194697796
21-388-03364,0.9723438993190182
21-388-03365,0.972127945882854
21-388-03366,0.9723462585925254
21-388-03367,0.976088635146236
21-388-03368,0.9698799671922228
21-388-03369,0.9723451063892432
21-388-03370,0.976734004809282
21-388-03371,0.9723452701282248
21-388-03372,0.9724061505714618
21-388-03373,0.9698647605456344
21-388-03374,0.9723463913116848
21-388-03375,0.9659799489959776
21-388-03376,0.972345828358442
21-388-03377,0.9700384141822272
21-388-03378,0.9723455003007
21-388-03379,0.9828834411848064
21-388-03380,0.9722344529052148
21-388-03381,0.9723458324151608
21-388-03382,0.9723457905842016
21-388-03383,0.9723467879783104
21-388-03384,0.9723424647886988
21-388-03385,0.9727751251610044
21-389-03357,1.034101271182099
21-389-03358,1.034828150507472
21-389-03359,1.0339948209642154
21-389-03360,1.0249135605475177
21-389-03361,1.034507749235429
21-389-03362,1.0317033231757444
21-389-03363,1.043668112900164
21-390-03422,1.022604652940659
21-390-03423,1.0161157219523191
21-390-03424,1.0209760644333188
21-390-03425,1.0084422155733015
21-390-03426,1.0229215339164377
21-390-03427,1.02157809441198
21-390-03428,1.023281589838015
21-390-03429,1.0195077490610829
21-390-03430,1.0229209266025967
21-390-03431,1.0180740489263167
21-390-03432,1.0229233318958395
21-390-03433,1.023100875619505
21-391-03329,0.9730843858885768
21-391-03330,0.9618036268020606
21-391-03331,0.971514994464639
21-392-03567,0.945556147344966
21-392-03568,0.9476415572690228
21-392-03569,0.9474106406147654
21-392-03570,0.9481155195707892
21-392-03571,0.9455750597872804
21-392-03572,0.9455367454407247
21-393-03284,0.9667295732444684
21-393-03285,0.9755582452424336
21-393-03286,0.9755599727230916
21-393-03287,0.975558799743341
21-393-03288,0.975544559393304
21-393-03289,0.9758225921632252
21-393-03290,0.9747748600306786
21-393-03291,0.9755168743119912
21-393-03292,0.9755574531172028
21-393-03293,0.9755033237888452
21-393-03294,0.975134157669468
21-393-03295,0.9755648724738152
21-393-03296,0.976008049583089
21-393-03297,0.975914828470615
21-394-03531,1.0117451432846554
21-394-03532,1.0090595029259686
21-394-03533,1.010654811366268
21-394-03534,1.0114245440850946
21-394-03535,1.011724173178171
21-395-03409,0.9932332455996242
21-395-03410,0.9938232635597278
21-395-03411,0.9927933154243732
21-395-03412,0.9932472733125232
21-395-03413,0.9932337216895036
21-395-03414,0.9932321280308776
21-395-03415,0.992456453223732
21-395-03416,0.9917012799502168
21-395-03417,0.993237380753982
