Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Department
2025_ORULB_113433_1,BMC(BAM)/ 304/2025/2026,Const. Of Community hall at Haridakhandi Road in ward no. 02 BeMC,Const. Of Community hall at Haridakhandi Road in ward no. 02 BeMC,Works,Open Tender,Percentage,Civil Works - Others,No,No,NA ,17-May-2025 03:00 PM,NA ,90.0,No ,No,Online,03-Jun-2025 11:30 AM,Municipal Bodies||Brahmapur Municipal Corporation,"Berhampur Municipal Corporation, Berhampur",760002.0,1.0,"4,25,541",Hina Pradhan,"425,144.47",Rejected-Finance,04-Aug-2025,Municipal Bodies||Brahmapur Municipal Corporation
2025_OLIC_112089_35,BID ID NO. 4142 (OLIC/2024-25) DATED 18.03.2025,Reinforcement of Gambharia I TW LIP under Rasgobindpur Block in Mayurbhanj District,Reinforcement of Gambharia I TW LIP under Rasgobindpur Block in Mayurbhanj District,Works,Open Tender,Percentage,Civil Works - Lift Irrigation Schemes,No,No,NA ,02-Apr-2025 11:00 AM,NA ,365.0,No ,No,Online,15-Apr-2025 11:00 AM,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,Baripada,757002.0,2.0,"7,50,008",AJAY KUMAR GIRI,"752,347",Rejected-AOC,07-Aug-2025,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada
2025_OLIC_112089_21,BID ID NO. 4142 (OLIC/2024-25) DATED 18.03.2025,Reinforcement of Basipitha I TW LIP under Khunta Block in Mayurbhanj District,Reinforcement of Basipitha I TW LIP under Khunta Block in Mayurbhanj District,Works,Open Tender,Percentage,Civil Works - Lift Irrigation Schemes,No,No,NA ,02-Apr-2025 11:00 AM,NA ,365.0,No ,No,Online,15-Apr-2025 11:00 AM,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,Baripada,757002.0,2.0,"7,67,016",AJAY KUMAR GIRI,"769,408",Rejected-Finance,04-Aug-2025,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada
2025_OSPHW_114167_4,04/OPHWC/2025-26,"Construction of 100 Men Barrack at RO, Sundargarh",Building Work,Works,National Competitive Bid,Percentage,Civil Works - Buildings,No,No,NA ,04-Jun-2025 04:00 PM,NA ,90.0,No ,No,Online,20-Jun-2025 10:30 AM,Orissa State Police Housing and Welfare Corporation Ltd,Sundargarh,751022.0,2.0,"4,15,89,288",AKSHAYA KUMAR MOHAPATRA,"36,598,573.62",Rejected-Technical,22-Aug-2025,Orissa State Police Housing and Welfare Corporation Ltd
2025_CERWI_111988_38,EERWPH-40/2024-25,PH works for construction of HWC Sub Centre building at Nandoor of Khaira block in the district of Balasore for the year 2023-24.,PH works for construction of HWC Sub Centre building at Nandoor of Khaira block in the district of Balasore for the year 2023-24.,Works,Open Tender,Percentage,Civil Works - Buildings,No,No,NA ,02-Apr-2025 11:00 AM,NA ,90.0,No ,No,Online,15-Apr-2025 11:00 AM,CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,Nandoor,756047.0,1.0,"5,55,548",ARUN KUMAR NAYAK,"472,272",Rejected-Finance,29-Jul-2025,CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR
2025_KIRRD_110670_59,e-Procurement Notice No.KID-04 of 2024-25,KID-149 of 2024-25 Improvement to Indupur gherry from RD 4.920 km to 5.172 km near village Gandasahi.,Improvement to Indupur gherry,Works,Open Tender,Percentage,Civil Works - Others,No,No,NA ,16-Feb-2025 09:00 AM,NA ,90.0,No ,No,Online,25-Feb-2025 11:00 AM,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara,Kendrapara,754211.0,1.0,"12,66,997",AKSHAYA KUMAR PARIDA,"1,077,073.97",Rejected-Technical,31-Aug-2025,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara
2025_ORULB_112943_3,6/SMC_SBP/2025-26,Const of Paver Block Road from Sonu Luha House to Puspanjali Ranbida house at WNo.06,Const of Paver Block Road from Sonu Luha House to Puspanjali Ranbida house at WNo.06,Works,Open Tender,Percentage,Civil Works - Others,No,No,NA ,05-May-2025 10:00 AM,NA ,120.0,No ,No,Online,15-May-2025 10:00 AM,Municipal Bodies||Sambalpur Municipal Corporation,SAMBALPUR MUNICIPAL CORPORATION,768006.0,1.0,"13,32,052",M/S PRAKASH CHANDRA NAYAK,"1,332,052.05",Accepted-AOC,25-Aug-2025,Municipal Bodies||Sambalpur Municipal Corporation
2025_OLIC_112089_9,BID ID NO. 4142 (OLIC/2024-25) DATED 18.03.2025,Revival of Khandadeulia I RL LIP under Betnoti Block in Mayurbhanj District,Revival of Khandadeulia I RL LIP under Betnoti Block in Mayurbhanj District,Works,Open Tender,Percentage,Civil Works - Lift Irrigation Schemes,No,No,NA ,02-Apr-2025 11:00 AM,NA ,365.0,No ,No,Online,15-Apr-2025 11:00 AM,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,Baripada,757002.0,2.0,"10,55,877",GOPINATH DAS,"1,059,169",Rejected-Finance,04-Aug-2025,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada
2025_STSCD_114749_6,TCN02/2025-26,Upgradation of PSH Building at Gunduria School under Bisoi Block.,Upgradation of PSH Building at Gunduria School under Bisoi Block.,Works,Open Tender,Percentage,Civil Works - Buildings,No,No,NA ,24-Jun-2025 06:00 PM,NA ,90.0,No ,No,Online,15-Jul-2025 11:00 AM,ST and SC Development Deptt||ITDA Rairangpur,Gunduria,757033.0,1.0,"57,40,009",Amit kumar sahu,"4,879,581.65",Rejected-AOC,18-Aug-2025,ST and SC Development Deptt||ITDA Rairangpur
2025_ORULB_111842_19,BM_07_2024_25,"Const. of Paver Block Road from raghunath Mohapatra res to jena Sir Res via Basanta Sahu Res , Mansingh Bazar in Ward No_05","Const. of Paver Block Road from raghunath Mohapatra res to jena Sir Res via Basanta Sahu Res , Mansingh Bazar in Ward No_05",Works,Open Tender,Percentage,Civil Works - Others,No,No,NA ,24-Mar-2025 01:00 PM,NA ,90.0,No ,No,Online,08-Apr-2025 11:00 AM,Municipal Bodies||Balasore Municipality,Balasore Municipality,756003.0,1.0,"9,12,640",BALARAJ MALLIK,"775,835.26",Rejected-Technical,18-Aug-2025,Municipal Bodies||Balasore Municipality
