Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3146386,CH SUBASH CHANDRA PATRO,24-Oct-2025 12:30 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3148809,GANESH NAIK,24-Oct-2025 03:53 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3151065,GOUTAM RAI AGRAWAL,25-Oct-2025 02:44 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3128198,Haraprasad Raut,14-Oct-2025 07:13 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3150205,JAGADISH SAHU,25-Oct-2025 07:05 AM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3146487,Jitendra Kumar Naik,23-Oct-2025 10:37 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3141111,KANDURU NAIK,24-Oct-2025 12:05 AM,Accepted-AOC,As per Transparency Lottery System,03-Feb-2026 10:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3151030,KESHAV SHARMA,25-Oct-2025 01:51 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3131457,LALIT KUMAR NAIK,16-Oct-2025 06:11 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3144701,MAHESH KUMAR SAHU,23-Oct-2025 11:57 AM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3147342,MANIKYA JYOTI PANDA,24-Oct-2025 08:51 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3146228,MRINAL KANT BEHERA,23-Oct-2025 04:46 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3141779,NABAL KISHOR AGRAWAL,22-Oct-2025 05:59 PM,Rejected-Technical,RC not submitted,03-Feb-2026 10:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3148097,NABIN KUMAR AGRAWAL,25-Oct-2025 06:08 AM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3150979,Nitesh Kumar Jain,25-Oct-2025 02:16 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3146950,PARAMANANDA SAHU,23-Oct-2025 09:38 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3151221,PRITHVIRAJ SINGH,25-Oct-2025 01:32 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3145324,RAKESH KUMAR CHOUDHURY,23-Oct-2025 05:52 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3148224,ROHAN KUMAR NAG,24-Oct-2025 04:02 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3137416,SAHIL KUMAR RAY,20-Oct-2025 11:49 AM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3150836,SASANKA SHEKHAR BISSOYI,25-Oct-2025 12:37 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3149998,Sobhabati Meher,25-Oct-2025 10:41 AM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3150098,SOM PRAKASH PUROHIT,25-Oct-2025 09:29 AM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3128438,SSD CONSTRUCTIONS,15-Oct-2025 09:22 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3150267,SUBRAT KUMAR GOPAL,25-Oct-2025 02:08 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3134923,TAPAN KUMAR GARADA,18-Oct-2025 05:17 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3148411,UPENDRA NAIK,24-Oct-2025 01:55 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
