S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2478504,MANAS RANJAN PANDA,18-Mar-2024 01:38 PM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2479547,M/S KALINGA COMBINES PRIVATE LIMITED,18-Mar-2024 01:19 PM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2479219,M/S SARAT CHANDRA SAHOO,17-Mar-2024 01:13 PM,Rejected-Technical,"As per approval of Technical bid Lr No.30400 dt.22.10.2025 of EIC, Procurement, DoWR",24-Oct-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2478019,M/S SHREE GANESH CONSTRUCTION,16-Mar-2024 05:31 PM,Rejected-Technical,"As per approval of Technical bid Lr No.30400 dt.22.10.2025 of EIC, Procurement, DoWR",24-Oct-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2480020,NIRAKAR SAMAL,18-Mar-2024 03:17 PM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2479496,PAL CONSTRUCTION,18-Mar-2024 10:24 AM,Accepted-AOC,Awarded,24-Feb-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2472976,PROJOLITA DASH,10-Mar-2024 09:25 PM,Rejected-Technical,"As per approval of Technical bid Lr No.30400 dt.22.10.2025 of EIC, Procurement, DoWR",24-Oct-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2478606,RAJESH KUMAR MOHAPATRA,17-Mar-2024 12:51 PM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2479379,SAMAL CONSTRUCTION,17-Mar-2024 08:18 PM,Rejected-Technical,"As per approval of Technical bid Lr No.30400 dt.22.10.2025 of EIC, Procurement, DoWR",24-Oct-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2476906,SIBA PRASAD PARIDA,18-Mar-2024 08:12 AM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2464839,SRIJAGANNATH CONSTRUCTION,02-Mar-2024 04:27 PM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2479278,SUAHANTA KUMAR PANDA,17-Mar-2024 04:41 PM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
