Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
,,,,,,,,,,,,,,,19,3292629,MANAS RANJAN THAKUR,10-Dec-2025 10:35 AM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,20,3287946,MOHANLAL AGRAWAL,11-Dec-2025 02:39 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,21,3294150,NIHAR RANJAN PANDIA,12-Dec-2025 12:57 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,22,3292840,Pooja Jain,10-Dec-2025 12:26 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,23,3293078,PRADEEP KUMAR TRIPATHY,11-Dec-2025 01:36 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,24,3296907,PRITAM PARDIA,12-Dec-2025 11:54 AM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,25,3295300,ROHAN KUMAR NAG,11-Dec-2025 09:20 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,26,3296562,RUPAK KUMAR SWAIN,11-Dec-2025 11:30 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,27,3295086,SANJEEB KUMAR AGRAWAL,11-Dec-2025 07:38 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,28,3295758,SANJIB KUMAR HOTA,12-Dec-2025 01:19 AM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,29,3296098,SASMITA NAIK,11-Dec-2025 07:04 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,30,3294000,SHASHI BHUSAN PRAHARAJ,11-Dec-2025 09:03 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,31,3296796,SHIVAM SINGHAL,12-Dec-2025 10:40 AM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,32,3281751,SMT. UTKALIKA ROUT,05-Dec-2025 06:56 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,33,3296461,SOURAV KUMAR PANDA,12-Dec-2025 12:12 AM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,34,3283923,SRI ANIL KUMAR MISHRA,06-Dec-2025 12:44 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,35,3296753,SUBRAT KUMAR SAHU,12-Dec-2025 10:39 AM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,36,3294143,SURYABRATA PANIGRAHI,10-Dec-2025 08:47 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,37,3296446,SUSHANTA KUMAR LENKA,11-Dec-2025 10:30 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,38,3295883,SUSMITA TRIPATHY,11-Dec-2025 05:16 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,39,3298020,UMAKANTA NAIK,12-Dec-2025 03:50 PM,Accepted-AOC,Accepted,10-Feb-2026 12:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,40,3294998,umang singhal,11-Dec-2025 12:53 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
