S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3232799,HARSHIT HOTA,18-Nov-2025 11:46 AM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3235038,HEMANTO KUMAR SWAIN,18-Nov-2025 01:33 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3234860,HIMANSU BISWAL,18-Nov-2025 02:33 PM,Accepted-AOC,"Award of contract to Sri Himansu Biswal, A Class Engineering Contractor through transparency lottery system",21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3235478,HIMANSU SEKHAR PADHI,18-Nov-2025 03:05 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3233156,Khaga Bhatara,17-Nov-2025 05:16 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3234574,KUMAR ANURAG,18-Nov-2025 11:34 AM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3233877,MANAS BISOI,17-Nov-2025 09:49 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3235043,Manisha Padhi,18-Nov-2025 04:21 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3232625,MANOJ KUMAR AGRAWAL,18-Nov-2025 02:29 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3233793,MANORANJAN SAHU,17-Nov-2025 09:03 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3234549,MOHANLAL AGRAWAL,18-Nov-2025 03:19 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3235336,M/s Arpita Steel And Construction Prop. Arpita Bisoyi,18-Nov-2025 02:18 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3235795,M SAWAN KUMAR SENAPATI,18-Nov-2025 04:18 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3232453,M/S Radha Devi Trading Co Proprietor-Binod Agrawal,18-Nov-2025 02:33 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3235353,M/s SANTOSH SATAPATHY,18-Nov-2025 03:01 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3234731,M/s Sarat Chandro Patnaik,18-Nov-2025 11:59 AM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3232893,PRABHATKUMAR BISOI,17-Nov-2025 05:06 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3235173,PRAVINA KUMAR TURUK,18-Nov-2025 02:49 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3235084,SAMIR KUMAR MEHER,18-Nov-2025 01:40 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3233931,Sandeep Bisoi,17-Nov-2025 09:48 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3235601,SANSAI PANKA,18-Nov-2025 03:41 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3235749,SAUMYA RANJAN MISHRA,18-Nov-2025 04:09 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3235647,Simanchal Sabat,18-Nov-2025 03:46 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3235273,SRIKANT KUMAR BISSOYI,18-Nov-2025 02:09 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3233197,SS CONSTRUCTION,17-Nov-2025 11:43 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3235216,SUBHRANSHU NAYAK,18-Nov-2025 02:35 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3234571,SUMIT KUMAR CHOUDHURY,18-Nov-2025 11:29 AM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3234637,SUNIL KUMAR MUND,18-Nov-2025 02:50 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3234059,SURAJ KUMAR DAS,17-Nov-2025 11:38 PM,Rejected-AOC,REJECT,21-Feb-2026 08:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
