S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3057164,JITENDRA KUMAR BEHERA,31-Aug-2025 07:55 AM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3052410,JITENDRA KUMAR RATH,28-Aug-2025 12:56 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3053801,KALANDI CHARAN SWAIN,29-Aug-2025 09:15 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3061300,MOHAMMAD GULAM SARWAR,02-Sep-2025 03:05 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3061222,MRUTUNJAY SAMAL,02-Sep-2025 02:34 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3060942,NIBEDITA MOHAPATRA,02-Sep-2025 12:50 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3060073,PRAGYAN PARAMITA PARIDA,01-Sep-2025 08:00 PM,Rejected-Finance,2nd Lowest Bidder,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3060285,PRASAD KUMAR SAHOO,01-Sep-2025 10:01 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3056035,PRASANT KUMAR GURU,31-Aug-2025 07:49 AM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3061114,PRATIK BHUYAN,02-Sep-2025 01:50 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3058868,RAKESH MAHAPATRA,01-Sep-2025 02:10 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3060817,RAKESH PATTANAYAK,02-Sep-2025 12:11 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3059476,RP INFRASTRUCTURE,01-Sep-2025 04:20 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3058730,RUTENDRA JENA,01-Sep-2025 12:18 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3060388,SACHIN PRADHAN,01-Sep-2025 11:19 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3055379,SAHOO AND SONS,29-Aug-2025 07:10 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3060005,SHREYANSH MALLICK,01-Sep-2025 07:32 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3061262,SIDDHARTHA KUMAR PRADHAN,02-Sep-2025 02:52 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3058287,S SUVENDU,01-Sep-2025 02:52 AM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3055807,SUBASHIS SAHOO,31-Aug-2025 09:32 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3056666,SUBHALAGNA CONSTRUCTION,30-Aug-2025 05:27 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3055303,SUBRAT PANDA,29-Aug-2025 06:13 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3058463,Suryakanta Mishra,01-Sep-2025 10:03 AM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3055425,SWASTIK CONSTRUCTION,29-Aug-2025 07:43 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
