Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3336340,Nibedita Pothal,29-Dec-2025 01:11 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3326055,PRABIN KUMAR ROUT,24-Dec-2025 02:09 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3337392,PRANATI PATTANAYAK,29-Dec-2025 03:48 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3334003,PUNYASLOKA MOHANTY,28-Dec-2025 03:43 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3325193,Rajesh Roshan Behera,24-Dec-2025 07:43 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3330217,RAKESH KUMAR BISWAL,26-Dec-2025 05:56 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3335022,Ramakanta Rout,28-Dec-2025 10:34 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3319125,RAMESH CHANDRA SAMAL,20-Dec-2025 03:23 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3326309,Rashmi Ranjan Behera,24-Dec-2025 03:22 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3328117,RASHMITA ROUT,25-Dec-2025 06:13 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3331711,SABITRI SAHOO,27-Dec-2025 03:13 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3333322,SARBESWAR BISWAL,28-Dec-2025 11:25 AM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3328933,Satyabrata Das,26-Dec-2025 10:36 AM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3326405,SRIKANTA KUMAR MOHANTY,24-Dec-2025 03:55 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3335007,SRI NARAYAN SAHOO,28-Dec-2025 10:00 PM,Accepted-AOC,Won the lottery,17-Feb-2026 01:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3326995,SUMITRA SAHOO,24-Dec-2025 09:51 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3323878,SUSAMARANI ROUT,23-Dec-2025 05:23 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3333946,SUSHANT KUMAR SAHOO,28-Dec-2025 02:52 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3327055,TAPASWINI MALLIK,24-Dec-2025 11:38 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3332474,UTTAMA ROUT,27-Dec-2025 07:25 PM,Rejected-Technical,Does not satisfy as per DTCN,20-Jan-2026 02:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
