Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
,,,,,,,,,,,,,,,11,3321959,Brajamohan Palo,22-Dec-2025 12:26 PM,Accepted-AOC,Lottery Winner,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3321917,Chinmaya Kumar Rana,22-Dec-2025 12:32 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3319779,Chiranjibi Muni,20-Dec-2025 07:23 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,3313440,Debasish Mishra,18-Dec-2025 12:01 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,15,3303947,Debasis Mahapatro,15-Dec-2025 03:04 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,16,3321816,Dusmanta Kumar Dalai,22-Dec-2025 12:11 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,17,3322320,GANESH PATRA,22-Dec-2025 01:31 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,18,3313705,GANESH SAHU,18-Dec-2025 12:52 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,19,3322507,Manoj Kumar Sabat,22-Dec-2025 02:00 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,20,3308644,MUKESH SAHU,16-Dec-2025 04:26 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,21,3320484,NADI KESHABA,21-Dec-2025 01:57 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,22,3321355,Neelakantha Swain,22-Dec-2025 08:43 AM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,23,3320525,PITABAS SWAIN,21-Dec-2025 02:46 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,24,3321961,PRABHATA KUMAR NAYAK,22-Dec-2025 12:25 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,25,3315247,Prabhat Kumar Sabat,18-Dec-2025 07:33 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,26,3322745,Prasanta Kumar Sahu,22-Dec-2025 02:50 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,27,3320267,RADHARANI SAHU,21-Dec-2025 11:52 AM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,28,3322003,RAHUL KUMAR PADHY,22-Dec-2025 12:49 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,29,3317624,RAJA BARADA,19-Dec-2025 04:12 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,30,3320804,RAMA CHANDRA ADHIKARI,21-Dec-2025 06:09 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,31,3301344,RAMA CHANDRA NAYAK,14-Dec-2025 04:08 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,32,3322419,RAMAKRUSHNA NAHAK,22-Dec-2025 01:46 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,33,3320355,RAMESWAR SAHU,21-Dec-2025 01:03 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,34,3316356,RANJAN KUMAR SAHU,19-Dec-2025 02:42 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,35,3321846,SAMEER RANJAN NAYAK,22-Dec-2025 11:57 AM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,36,3320247,Shyam Sundar Sahu,21-Dec-2025 02:07 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,37,3316396,Sibaram Sethi,19-Dec-2025 11:43 AM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,38,3322921,SORAJ KUMAR MOHANTY,22-Dec-2025 03:31 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,39,3322632,SRIKANTA SETHI,22-Dec-2025 02:37 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,40,3320568,SUMEET PANIGRAHY,21-Dec-2025 09:20 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,41,3321622,Sunil Kumar Sahu,22-Dec-2025 10:59 AM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,42,3319306,SURESH CHANDRA NAYAK,20-Dec-2025 05:20 PM,Rejected-AOC,Lottery Looser,17-Feb-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
