Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
,,,,,,,,,,,,,,,11,3423784,DUSILA SAHU,09-Mar-2026 12:17 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3419196,GHASIRAM JAINI,07-Mar-2026 12:02 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3424035,GOPINATH SAHU,09-Mar-2026 12:39 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,3423138,GOURAB KUMAR BANSAL,08-Mar-2026 01:25 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,15,3424241,HEMAKANTI BEHERA,09-Mar-2026 03:47 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,16,3423693,JITENDRA BARIHA,09-Mar-2026 11:59 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,17,3423848,KUNTI MAHANANDA,09-Mar-2026 12:04 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,18,3421915,MAA MANGALA TRADERS,06-Mar-2026 08:54 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,19,3423722,MAHAMAI CONSTRUCTION,09-Mar-2026 11:33 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,20,3423439,MALATI BAG,08-Mar-2026 08:43 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,21,3424022,MAMATA KUMBHAR,09-Mar-2026 04:07 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,22,3422921,MANJU AGRAWL,08-Mar-2026 08:48 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,23,3423343,manorama sahu,08-Mar-2026 07:41 PM,Accepted-AOC,AOC,07-May-2026 09:57 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,24,3423905,MURARI PRASAD MISHRA,09-Mar-2026 12:53 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,25,3424152,NANDA KISHOR AGRAWAL,09-Mar-2026 01:46 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,26,3423630,NETRANANDA MAJHI,09-Mar-2026 11:08 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,27,3423992,PANKAJ SAHU,09-Mar-2026 01:35 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,28,3423464,PARAME ADJUAD,09-Mar-2026 10:46 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,29,3422911,PRITI AGRAWAL,08-Mar-2026 11:59 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,30,3423749,PURNA CHANDRA KUMBHAR,09-Mar-2026 11:31 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,31,3422894,RAJESH KUMAR JAIN,07-Mar-2026 08:29 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,32,3422874,RAMAKANTA PATTANAIK,07-Mar-2026 08:35 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,33,3422861,REBATI SAHU,07-Mar-2026 07:15 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,34,3419498,ROSHNI AGRAWAL,05-Mar-2026 11:55 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,35,3423024,SATYABRAT BRAHMA,08-Mar-2026 10:44 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,36,3422671,SHYAM SUNDAR SAHU,09-Mar-2026 09:23 AM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,37,3423078,SUDHAMAYEE SAHU,08-Mar-2026 01:52 PM,Rejected-Finance,NOT WINE THE LOTTERY,07-May-2026 09:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
