Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
,,,,,,,,,,,,,,,11,3198078,HEMAKANTI BEHERA,10-Nov-2025 11:41 AM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3201011,JIRABATI BHOI,09-Nov-2025 12:58 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3195432,KHITEESUTA SAHU,08-Nov-2025 11:42 AM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,3200409,KUNAL SHARMA,09-Nov-2025 11:48 AM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,15,3197467,LOKANATH MAJHI,09-Nov-2025 02:58 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,16,3191185,MAA MANGALA TRADERS,07-Nov-2025 07:44 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,17,3205529,MALATI BAG,10-Nov-2025 12:04 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,18,3189631,MAMATA KUMBHAR,10-Nov-2025 01:55 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,19,3182201,manorama sahu,04-Nov-2025 09:40 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,20,3196367,MANORANJAN BHOI,09-Nov-2025 05:06 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,21,3186182,MURARI PRASAD MISHRA,05-Nov-2025 10:33 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,22,3206902,NANDA KISHOR AGRAWAL,10-Nov-2025 02:46 PM,Accepted-AOC,AOC,30-May-2026 11:36 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,23,3182585,NARENDRA PANIKA,06-Nov-2025 12:41 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,24,3178217,NETRANANDA MAJHI,10-Nov-2025 12:58 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,25,3187948,PADMANAVA NAIK,06-Nov-2025 02:11 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,26,3192298,PAPI SUNA,08-Nov-2025 10:35 AM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,27,3206495,PURNA CHANDRA KUMBHAR,10-Nov-2025 02:09 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,28,3196910,RAJESH KUMAR JAIN,08-Nov-2025 08:59 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,29,3196937,RAMAKANTA PATTANAIK,08-Nov-2025 07:21 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,30,3185773,RAMA MISHRA,06-Nov-2025 11:53 AM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,31,3178397,SHYAM SUNDAR SAHU,10-Nov-2025 04:13 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,32,3200586,SIMA BEHERA,09-Nov-2025 04:24 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,33,3178938,SUDHAMAYEE SAHU,04-Nov-2025 02:04 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,34,3199358,SUSILA SAHU,08-Nov-2025 10:57 PM,Rejected-Finance,NOT WINE THE LOTTERY,30-May-2026 11:34 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
