S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3336288,BIKASH CHANDRA DIHUDI,29-Dec-2025 12:44 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3317926,BIPLAB KESHARI SWAIN,20-Dec-2025 05:57 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3318441,Biren Kumar Pradhan,19-Dec-2025 09:28 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3336693,BISHAL AGRAWALLA,29-Dec-2025 02:35 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3324273,BISWAJEET PATTANAYAK,23-Dec-2025 01:56 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3318234,BISWAJIT PRADHAN,19-Dec-2025 07:49 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3327627,BISWAJIT SAHU,28-Dec-2025 10:56 AM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3333843,BISWANATH PATTANAYAK,28-Dec-2025 02:05 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3330640,CHITTA RANJAN PARIDA,26-Dec-2025 07:27 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3323591,DEBASISH MOHANTY,25-Dec-2025 10:39 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3335676,DIBYASUNDAR SAHOO,29-Dec-2025 11:37 AM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3327905,Ganesh Sahu,26-Dec-2025 08:35 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3326981,HIMANSU KUMAR DAS,24-Dec-2025 09:43 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3324545,IPSITA PATTNAIK,23-Dec-2025 05:18 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3337808,JAGADISH BARAL,29-Dec-2025 04:35 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3330420,JAYASHREE SAHOO,26-Dec-2025 05:34 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3327906,JBS CONSTRUCTIONS PRIVATE LIMITED,27-Dec-2025 04:06 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3331927,JITENDRA SETHI,27-Dec-2025 04:37 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3330378,JITU SETHI,26-Dec-2025 05:04 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3319731,JOGENDRA KUMAR MOHANTY,24-Dec-2025 12:33 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3332328,JYOTI PRAKASH PADHIARI,28-Dec-2025 10:34 AM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3333950,JYOTI RANJAN PATRA,29-Dec-2025 02:11 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3331294,KAILASH CHANDRA PANDA,27-Dec-2025 12:55 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3331066,Kanhu Charan Dakua,27-Dec-2025 10:38 AM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3327968,Kartikeswar Sahu,26-Dec-2025 07:42 AM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3333679,KARUNAKAR RAUT,28-Dec-2025 01:03 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3331116,KESHAB CHANDRA NAYAK,27-Dec-2025 12:17 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3332164,KIRAN KUMAR BEHERA,27-Dec-2025 05:24 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3337824,KRUSHNA CHANDRA MOHANTY,29-Dec-2025 04:33 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3325884,LADUKESH PRASAD DALABEHERA,24-Dec-2025 01:12 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,3329684,LIPUN KUMAR BEHERA,26-Dec-2025 01:40 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,3334362,Manasa Ranjan Panda,28-Dec-2025 06:19 PM,Rejected-Technical,rejected due to lack of EMD exemption declaration in his uploaded affidavit,14-Jan-2026 10:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,3336033,MANOJ KUMAR MISHRA,29-Dec-2025 12:04 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3333928,"MANORAMA TRADE LINK, PROP-ASWINI KUMAR ACHARYA",29-Dec-2025 05:23 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,3337209,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,29-Dec-2025 03:18 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,3336719,NARAYAN PRADHAN,29-Dec-2025 04:22 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,3332675,PADMA NAVA RANA,28-Dec-2025 07:52 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,3329870,PRABHAT KUMAR SAHU,28-Dec-2025 12:38 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,3335998,PRABIN KUMAR JENA,29-Dec-2025 11:58 AM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,3331616,PRADEEP KUMAR BEHERA,27-Dec-2025 09:24 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,3333298,PRADIP KUMAR PANIGRAHI,28-Dec-2025 11:15 AM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,3323216,Prasanta Kumar Nayak,22-Dec-2025 04:30 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,3328346,PURNENDU ROUTRAY,25-Dec-2025 07:22 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,3336929,RADHAMADHAB SAHOO,29-Dec-2025 02:16 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,3336404,RAJAT PATTNAIK,29-Dec-2025 01:01 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,3337031,Rajendra Kumar Panda,29-Dec-2025 02:30 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,3327920,Rama Chandra Pradhan,27-Dec-2025 11:56 AM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,3336623,RAMADEVI MAHAKUDA,29-Dec-2025 01:35 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,3332958,RAMA KRUSHNA PATTNAYAK,27-Dec-2025 11:48 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,3333364,RAMKRUSHNA PRADHAN,28-Dec-2025 11:34 AM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,3333892,Ranjan Kumar Tripathy,28-Dec-2025 02:13 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
