Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
,,,,,,,,,,,,,,,,11,3051397,GOLLECHA DEBENDRA KUMAR JAIN,28-Aug-2025 12:22 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,3044770,Jhantu Mondal,27-Aug-2025 10:47 AM,Rejected-Technical,Bidder has not digitally signed document in each page as called for in DTCN,07-Nov-2025 07:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,3061190,JYOTI RANJAN RAUT,02-Sep-2025 02:18 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,3061050,KISHORE CHAKRABARTY,02-Sep-2025 01:22 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,15,3058614,MOUSUMI RAY,01-Sep-2025 11:47 AM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,16,3057930,MRUTUNJAYA PATTNAIK,31-Aug-2025 06:36 PM,Rejected-Technical,Bidder has not digitally signed document in each page as called for in DTCN,07-Nov-2025 07:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,17,3060610,M SAWAN KUMAR SENAPATI,02-Sep-2025 10:25 AM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,18,3054623,NARASINGH NAYAK,29-Aug-2025 06:04 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,19,3057418,Naresh Mandal,01-Sep-2025 09:10 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,20,3046395,Pankaj Mandal,01-Sep-2025 10:34 AM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,21,3055795,Pinninti Sai,30-Aug-2025 10:49 AM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,22,3060240,PITABASH NATH,01-Sep-2025 09:24 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,23,3049162,PUJA SARKAR,26-Aug-2025 02:11 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,24,3060148,RAJINIKANTA MALLICK,01-Sep-2025 08:40 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,25,3056758,RANJAN KUMAR PRADHAN,30-Aug-2025 06:25 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,26,3049205,RATAN BISHWAS,26-Aug-2025 01:37 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,27,3061340,SAMIRAN BISWAS,02-Sep-2025 03:19 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,28,3060383,SHIULI MANDAL,02-Sep-2025 11:47 AM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,29,3045883,Simanchal Sabat,24-Aug-2025 09:28 AM,Accepted-AOC,Awarded with the work as L1 bidder,12-Mar-2026 11:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,30,3061257,SMRUTIMITALI SWAIN,02-Sep-2025 02:52 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,31,3045929,Smt. Anjali Behera,23-Aug-2025 07:53 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,32,3058101,Smt. Gitanjali Panda,31-Aug-2025 08:15 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,33,3055240,SRI DINESH PADHIARY,01-Sep-2025 01:00 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,34,3056265,Sri. Sambhu Bakchi,30-Aug-2025 05:02 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,35,3057139,SUBAL CHANDRA BAUL,30-Aug-2025 10:10 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,36,3045347,Subham Surana,23-Aug-2025 09:50 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,37,3061213,SUJAN MANDAL,02-Sep-2025 02:43 PM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,38,3060474,Suraj Haldar,02-Sep-2025 01:36 AM,Rejected-Finance,Not succeed in Lottery,21-Dec-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
