Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
,,,,,,,,,,,,,,,,11,3341751,BISWANATH SAHOO,01-Jan-2026 01:30 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,3336476,BRAHMANANDA SAHOO,29-Dec-2025 01:18 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,3327255,CHANDRA SEKHAR ROUT,25-Dec-2025 11:14 AM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,3331815,CHHABI BEHERA,27-Dec-2025 04:00 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,15,3334747,CHHAGANLAL KATARUKA,31-Dec-2025 08:21 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,16,3341642,CHITTA RANJAN BEHERA,01-Jan-2026 11:25 AM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,17,3328674,DEBABRATA MOHANTY,25-Dec-2025 11:41 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,18,3338199,DEBADATTA DASH,29-Dec-2025 07:00 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,19,3335298,DEBIPRASAD JENA,29-Dec-2025 08:26 AM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,20,3327799,DEEPAK KUMAR SAHOO,25-Dec-2025 07:27 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,21,3334119,DIBYA KETAN PATNAIK,28-Dec-2025 04:57 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,22,3341926,DILIP KUMAR BARAL,01-Jan-2026 04:53 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,23,3331520,DILLIP KUMAR SAHOO,29-Dec-2025 07:56 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,24,3331291,DINESH KUMAR SAHOO,27-Dec-2025 01:10 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,25,3341564,DIPTI RANJAN SAHOO,31-Dec-2025 09:53 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,26,3341158,Hemant Kumar Mohanty,31-Dec-2025 01:14 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,27,3341807,HIMANSU SAHOO,01-Jan-2026 01:58 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,28,3341921,HRUDANANDA BARIK,01-Jan-2026 04:41 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,29,3333686,JUKTAMISA SWATIPRADA BALA,28-Dec-2025 01:46 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,30,3331342,KHIROD KUMAR SAHOO,27-Dec-2025 01:06 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,31,3335647,LALA RANJIT RAY,29-Dec-2025 11:23 AM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,32,3341678,Laxmikant Rout,01-Jan-2026 12:20 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,33,3331518,MAHAVIR BHOL,27-Dec-2025 02:03 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,34,3341447,MALAYA RANJAN DALABEHERA,31-Dec-2025 05:48 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,35,3341265,MANOJ KABI,31-Dec-2025 01:48 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,36,3341647,MANOJ KUMAR SAMAL,01-Jan-2026 11:38 AM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,37,3330892,MANO RANJAN PANI,26-Dec-2025 11:13 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,38,3341669,MIHAR RANJAN PATTANAIK,01-Jan-2026 12:14 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,39,3341534,Mohammed Javed,31-Dec-2025 08:28 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,40,3341367,M/s Maa Mangala Stone crusher Prop MANOJ KUMAR POTHAL,31-Dec-2025 03:40 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,41,3338420,NIRANJAN NAYAK,29-Dec-2025 07:59 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,42,3341628,NIRMAL KUMAR BARAL,01-Jan-2026 11:33 AM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,43,3334870,NITYARANJAN BEHERA,28-Dec-2025 09:18 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,44,3331414,OMKAR PRASAD NAYAK,31-Dec-2025 02:19 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,45,3323854,PABITRA MOHAN ROUT,24-Dec-2025 10:59 AM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,46,3338804,PRABINA BEHERA,29-Dec-2025 11:33 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,47,3341730,PRANAB KUMAR BISWAL,01-Jan-2026 12:54 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,48,3341736,PRASANNAJIT NATH,01-Jan-2026 01:16 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,49,3332723,PRASANNA KUMAR BEHERA,27-Dec-2025 09:09 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,50,3335947,Prativa Sahoo,29-Dec-2025 09:14 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,51,3341610,PRAVAT KUMAR BISWAL,31-Dec-2025 11:59 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,52,3340197,PRUTHI RANJAN NAYAK,30-Dec-2025 02:51 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,53,3341894,PURNENDU SEKHAR SAHOO,01-Jan-2026 04:29 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,54,3327019,RAKESH BEHURA,24-Dec-2025 09:45 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,55,3331162,Rama Chandra Sahoo,27-Dec-2025 11:58 AM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,56,3331144,RAMAKRISHNA PAIKARAY,27-Dec-2025 12:46 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,57,3336257,RASHMI RANJAN SAHOO,29-Dec-2025 01:12 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,58,3326875,SAILESH PATRA,24-Dec-2025 08:01 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,59,3338792,SANDEEP SARAN BEHERA,29-Dec-2025 11:02 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,60,3330720,SANJIB SUBHANKAR,26-Dec-2025 08:17 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,61,3328083,SANKARSHAN MUDULI,25-Dec-2025 07:17 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
