Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,11,2113056,DIBYARANJAN SALANGI,12-Apr-2023 02:46 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,12,2110018,DILLIP KUMAR BARIK,13-Apr-2023 08:40 AM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,13,2112086,HARINARAYAN POTHAL,11-Apr-2023 11:12 AM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,14,2113447,HRUSHIKESH PATRA,13-Apr-2023 10:11 AM,Rejected-Technical,Invalid GST,06-May-2023 08:18 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,15,2109809,JAGANNATH DAS,11-Apr-2023 05:09 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,16,2113176,JIBAN KUMAR SAHU,12-Apr-2023 05:20 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,17,2109837,MANAS RANJAN BUGUDAI,10-Apr-2023 01:28 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,18,2112785,MANORATHA LENKA,12-Apr-2023 11:05 AM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,19,2109952,PRAHALLAD BEHERA,06-Apr-2023 11:57 AM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,20,2111059,PURNA CHANDRA SINGH,11-Apr-2023 07:08 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,21,2109487,RITWIK PARIDA,12-Apr-2023 12:31 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,22,2112136,SIBAYA SAMBIT NAYAK,11-Apr-2023 11:45 AM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,23,2111295,SIDHESWAR ROUT,13-Apr-2023 06:33 AM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,24,2111066,SOURAV PALATA,09-Apr-2023 09:02 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,25,2113611,SRI ANIRUDHA BEHERA,13-Apr-2023 01:03 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,26,2112515,SRI BALARAM LENKA,11-Apr-2023 07:33 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,27,2112964,SRI BISWAJIT PRADHAN,12-Apr-2023 01:12 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,28,2113015,SRI LAGNAJIT PATTANAYAK,12-Apr-2023 01:48 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,29,2111646,Sri Prakash Kumar Parida,12-Apr-2023 04:57 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,30,2113376,SRI RAJEEB KUMAR PATRA,13-Apr-2023 07:13 AM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,31,2113613,SRI SUNIL KUMAR LENKA,13-Apr-2023 01:12 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,32,2113555,SRI TAPAN KUMAR PATI,13-Apr-2023 12:18 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,33,2110073,Subash Chandra Patra,06-Apr-2023 01:45 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,34,2113619,SUDIPTA KAR,13-Apr-2023 01:14 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,35,2112534,SUVENDU KUMAR MOHANTY,11-Apr-2023 07:52 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,36,2111848,TAPAS KUMAR BEHERA,10-Apr-2023 06:48 PM,Accepted-AOC,Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
