block_lgd,dtname,dtcode11,block_name,object_id,block_area,max,mean,count,sum
03459,Khordha,386,BEGUNIA,21-386-03459,388,0.5848934710025787,0.3794231532788702,336,127.48617950170039
03460,Khordha,386,BHUBANESWAR,21-386-03460,455,0.5282917901039124,0.3492232965637835,392,136.89553225300313
03461,Khordha,386,BOLAGARH,21-386-03461,245,0.5848934710025787,0.5428540222780399,211,114.54219870066643
03462,Khordha,386,CHILIKA,21-386-03462,114,0.08018798997402192,0.08018798997402192,99,7.93861100742817
03463,Khordha,386,JATNI,21-386-03463,225,0.3342012370824814,0.32587981732765414,191,62.24304510958194
03464,Khordha,386,KHORDHA,21-386-03464,293,0.46444785878658296,0.32486180749565713,257,83.48948452638388
03465,Khordha,386,TANGI,21-386-03465,394,0.2662082574605942,0.18326727029936654,336,61.57780282058716
03466,Koraput,398,BANDHUGAON,21-398-03466,409,0.4327903757333756,0.2043380478631851,358,73.15302113502027
03467,Koraput,398,BOIPARIGUDA,21-398-03467,1074,0.49380971536636353,0.4438554509589766,916,406.57159307842255
03468,Koraput,398,BORIGUMMA,21-398-03468,640,0.47971772449016575,0.3486162987542327,547,190.6931154185653
03469,Koraput,398,DASAMANTAPUR,21-398-03469,939,0.33858994965553285,0.2594290598772327,805,208.84039320117233
03470,Koraput,398,JEYPORE,21-398-03470,481,0.36392502985000613,0.35286707766172937,408,143.96976768598557
03471,Koraput,398,KORAPUT,21-398-03471,541,0.3628569492101669,0.3109940820232193,467,145.23423630484342
03472,Koraput,398,KOTPAD,21-398-03472,474,0.47971772449016575,0.3694580156553083,410,151.4777864186764
03473,Koraput,398,KUNDURA,21-398-03473,376,0.49380971536636353,0.3617565593360374,322,116.48561210620404
03474,Koraput,398,LAMTAPUT,21-398-03474,646,0.4397885677337647,0.3849219524836627,552,212.4769177709818
03475,Koraput,398,LAXMIPUR,21-398-03475,489,0.23334541335105896,0.21840280716983593,414,90.41876216831207
03476,Koraput,398,NANDAPUR,21-398-03476,694,0.4397885677337647,0.2734855854339293,592,161.90346657688616
03477,Koraput,398,NARAYAN PATANA,21-398-03477,544,0.22149027123451234,0.19439699973028784,467,90.78339887404442
03478,Koraput,398,POTTANGI,21-398-03478,523,0.26899886190891265,0.14263585599163722,446,63.61559177227021
03479,Koraput,398,SEMILIGUDA,21-398-03479,559,0.33858994965553285,0.26812099407533807,480,128.69807715616227
03480,Malkangiri,399,KALIMELA,21-399-03480,1205,0.29113639411926273,0.22927221172996898,1026,235.23328923494816
03481,Malkangiri,399,KHAIRAPUT,21-399-03481,462,0.48979371974468233,0.4818580154858454,396,190.81577413239478
03482,Malkangiri,399,KORUKONDA,21-399-03482,1004,0.34394643807411196,0.26952376421479946,857,230.98186593208314
03483,Malkangiri,399,CHITRAKONDA,21-399-03483,1027,0.48979371974468233,0.27830527004630157,877,244.07372183060647
03484,Malkangiri,399,MALKANGIRI,21-399-03484,597,0.34394643807411196,0.3241693914035879,514,166.62306718144418
03485,Malkangiri,399,MATHILI,21-399-03485,719,0.49380971536636353,0.39308131597440743,616,242.13809064023496
03486,Malkangiri,399,PODIA,21-399-03486,768,0.2530085720539093,0.22535884829036348,656,147.83540447847844
03487,Mayurbhanj,376,BADASAHI,21-376-03487,352,0.534678807592392,0.48611237319066586,303,147.29204907677175
03488,Mayurbhanj,376,BAHALDA,21-376-03488,268,1.0750094400644303,0.9864315927494142,231,227.86569792511466
03489,Mayurbhanj,376,BANGRIPOSI,21-376-03489,850,0.9298610416412354,0.7614584863870533,740,563.4792799264194
03490,Mayurbhanj,376,BARIPADA,21-376-03490,296,0.48725622596740725,0.48530172004856204,259,125.69314549257757
03491,Mayurbhanj,376,BETNOTI,21-376-03491,315,0.5158090369462968,0.48535993057755267,278,134.93006070055964
03492,Mayurbhanj,376,BIJATALA,21-376-03492,301,0.9298610416412354,0.8299182577495358,262,217.43858353037837
03493,Mayurbhanj,376,BISOI,21-376-03493,343,0.9298610416412354,0.809348002282883,304,246.04179269399643
03494,Mayurbhanj,376,GOPABANDHUNAGAR,21-376-03494,174,0.6183711251735687,0.4953896475819799,154,76.2900057276249
03495,Mayurbhanj,376,JAMDA,21-376-03495,232,1.0050754442691803,0.8797070050740472,208,182.97905705540182
03496,Mayurbhanj,376,JOSHIPUR,21-376-03496,890,0.7455183043241501,0.6486960578233043,775,502.7394448130608
03497,Mayurbhanj,376,KAPTIPADA,21-376-03497,545,0.9408164469718934,0.6452232885569958,478,308.416731930244
03498,Mayurbhanj,376,KARANJIA,21-376-03498,686,0.672865811252594,0.5827806653499604,600,349.66839920997626
03499,Mayurbhanj,376,KHUNTA,21-376-03499,236,0.6183711251735687,0.5260866324630277,203,106.79558638999461
03500,Mayurbhanj,376,KULIANA,21-376-03500,334,0.7455183043241501,0.5174394582268321,293,151.60976126046182
03501,Mayurbhanj,376,KUSUMI,21-376-03501,323,0.8733696747064591,0.771884362479739,283,218.44327458176613
03502,Mayurbhanj,376,MORADA,21-376-03502,313,0.48968715705871585,0.4848223833606693,271,131.38686589074138
03503,Mayurbhanj,376,RAIRANGPUR,21-376-03503,269,1.0750094400644303,0.8629801094244508,238,205.3892660430193
03504,Mayurbhanj,376,RARUAN,21-376-03504,162,0.546756042289734,0.5467560422897338,145,79.27962613201142
03505,Mayurbhanj,376,RASGOVINDPUR,21-376-03505,237,0.48968715705871585,0.476828366063118,200,95.3656732126236
03506,Mayurbhanj,376,SAMAKHUNTA,21-376-03506,804,0.7455183043241501,0.5749662068958976,702,403.6262772409201
03507,Mayurbhanj,376,SARASKANA,21-376-03507,341,0.9298610416412354,0.7777968698383565,301,234.11685782134532
03508,Mayurbhanj,376,SUKRULI,21-376-03508,205,0.672865811252594,0.6253801004141905,178,111.31765787372589
03509,Mayurbhanj,376,SULIAPADA,21-376-03509,348,0.48725622596740725,0.4808241358471227,307,147.61300970506667
03510,Mayurbhanj,376,THAKURMUNDA,21-376-03510,966,0.9408164469718934,0.7555554030213069,843,636.9332047469617
03511,Mayurbhanj,376,TIRING,21-376-03511,173,1.0050754442691803,1.0050754442691803,151,151.7663920846462
03512,Mayurbhanj,376,UDALA,21-376-03512,448,0.9408164469718934,0.6411920267056931,391,250.70608244192601
03513,Nabarangpur,397,CHANDAHANDI,21-397-03513,241,0.24810708899497988,0.19796730565443274,205,40.58329765915871
03514,Nabarangpur,397,DABUGAM,21-397-03514,387,0.4472188832044602,0.4337452322745607,336,145.7383980442524
03515,Nabarangpur,397,JHARIGAM,21-397-03515,917,0.4472188832044602,0.29179020791513777,793,231.38963487670426
03516,Nabarangpur,397,KOSAGUMUDA,21-397-03516,655,0.47971772449016575,0.42121599749612726,571,240.51433457028867
03517,Nabarangpur,397,NABARANGPUR,21-397-03517,289,0.47971772449016575,0.4797177244901657,246,118.01056022458076
03518,Nabarangpur,397,NANDAHANDI,21-397-03518,187,0.47971772449016575,0.34874751803602083,166,57.89208799397946
03519,Nabarangpur,397,PAPADAHANDI,21-397-03519,558,0.47971772449016575,0.44532505140916784,479,213.3106996249914
03520,Nabarangpur,397,RAIGHAR,21-397-03520,818,0.27955895466804503,0.2333054094078858,706,164.71361904196738
03521,Nabarangpur,397,TENTULIKHUNTI,21-397-03521,366,0.47971772449016575,0.3469005691226881,314,108.92677870452405
03522,Nabarangpur,397,UMERKOTE,21-397-03522,1035,0.4472188832044602,0.3046046297020503,884,269.2704926566125
03523,Nayagarh,385,BHAPUR,21-385-03523,228,0.5848934710025787,0.5848934710025787,197,115.224013787508
03524,Nayagarh,385,DASAPALLA,21-385-03524,914,0.4469045022964478,0.4106510471137465,785,322.361071984291
03525,Nayagarh,385,GANIA,21-385-03525,404,0.4469045022964478,0.4158240516552871,352,146.37006618266105
03526,Nayagarh,385,KHANDAPARA,21-385-03526,366,0.5848934710025787,0.5094449859206138,310,157.9279456353903
03527,Nayagarh,385,NAYAGARH,21-385-03527,297,0.5848934710025787,0.40456857822089237,258,104.37869318099023
03528,Nayagarh,385,NUAGAON,21-385-03528,594,0.4469045022964478,0.4087955391075773,515,210.52970264040232
03529,Nayagarh,385,ODAGAON,21-385-03529,497,0.37154669892787934,0.3537342060214197,426,150.6907717651248
03530,Nayagarh,385,RANAPUR,21-385-03530,597,0.5848934710025787,0.28460605486131413,515,146.57211825357678
03531,Nuapada,394,BODEN,21-394-03531,689,0.31876425266265873,0.09802228547175859,593,58.12721528475284
03532,Nuapada,394,KHARIAR,21-394-03532,411,0.2931835505723953,0.19457756994073672,354,68.8804597590208
03533,Nuapada,394,KOMNA,21-394-03533,1166,0.3763278508424759,0.2181227078126845,1009,220.08581218299867
03534,Nuapada,394,NUAPADA,21-394-03534,903,0.3763278508424759,0.27590209948294925,783,216.03134389514926
