Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
,,,,,,,,,,,,,,,,13,3070789,BINOD AGRAWAL,09-Sep-2025 09:35 AM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,3071718,BISHNUDUTTA MISHRA,09-Sep-2025 04:22 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,15,3064231,BYASADEBA SAHU,06-Sep-2025 02:31 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,16,3070151,CHAHAT JAIN,09-Sep-2025 07:23 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,17,3067297,CHITRA SEN PRADHAN,07-Sep-2025 05:31 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,18,3068403,CH SUBASH CHANDRA PATRO,08-Sep-2025 07:37 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,19,3066166,DEEPANJALI BEHERA,06-Sep-2025 07:13 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,20,3059391,DOLAMANI BIBHAR,01-Sep-2025 03:42 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,21,3070173,DURGA PRASAD GUPTA,09-Sep-2025 05:33 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,22,3066482,Ganesh Ram Gupta,06-Sep-2025 08:01 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,23,3062830,GHANASHYAM SAHU,05-Sep-2025 01:21 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,24,3072556,GITANJALI MEHER,09-Sep-2025 10:19 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,25,3069451,GOPAL DAS SHARMA,08-Sep-2025 04:31 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,26,3063240,JADUMANI MEHER,04-Sep-2025 12:31 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,27,3066745,Jitendra Kumar Naik,07-Sep-2025 08:01 AM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,28,3073515,JYOTI PRAKASH BISHI,10-Sep-2025 11:49 AM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,29,3062343,JYOTIRANJAN MISHRA,03-Sep-2025 01:01 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,30,3064558,KL INFRAPROJECTS,06-Sep-2025 04:40 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,31,3072946,Kunja Bihari Sahu,10-Sep-2025 06:59 AM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,32,3063198,LILAMAYA PATEL,04-Sep-2025 12:37 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,33,3054781,LILI DEEP,30-Aug-2025 12:16 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,34,3073396,LOKANATH SABAR,10-Sep-2025 04:33 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,35,3072418,MAGAN BEHERA,09-Sep-2025 05:27 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,36,3063977,Mahesh Kumar Agrawal,06-Sep-2025 06:25 AM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,37,3074536,MRUTYUNJAYA JENA,10-Sep-2025 04:43 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,38,3067224,M/S SHREE SHYAM REALCON,07-Sep-2025 01:24 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,39,3067075,MUKESH DHARUA,07-Sep-2025 11:48 AM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,40,3072724,NIHAR RANJAN PANDIA,10-Sep-2025 06:23 AM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,41,3073830,PRAJNYA PRIYADARSHINI PANDA,10-Sep-2025 02:01 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,42,3069569,PRATAP KUMAR NANDA,08-Sep-2025 04:22 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,43,3074379,PRITAM KUMAR PATRA,10-Sep-2025 04:15 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,44,3072662,RABIN SAHOO,10-Sep-2025 12:05 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,45,3072995,RAMAKANTA SAHU,09-Sep-2025 10:45 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,46,3072873,Ramesh Sahu,09-Sep-2025 11:26 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,47,3068468,RANJAN KUMAR SAHU,09-Sep-2025 12:54 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,48,3068226,RANKANIDHI MEHER,08-Sep-2025 07:42 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,49,3073757,Rasmita Pattnaik,10-Sep-2025 01:58 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,50,3066774,RATHA MEHER,08-Sep-2025 10:23 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,51,3067666,ROHAN KUMAR NAG,07-Sep-2025 07:25 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,52,3071525,ruturaj behera,10-Sep-2025 10:12 AM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,53,3072589,SABYASACHI SAHOO,09-Sep-2025 06:39 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,54,3072893,SANJAY KUMAR AGRAWAL,10-Sep-2025 06:41 AM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,55,3070679,SANJIB KUMAR HOTA,10-Sep-2025 12:35 AM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,56,3074534,SIVARAM KRISHNA BISSOYI,10-Sep-2025 04:50 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,57,3073012,SOURAV KUMAR BEHERA,09-Sep-2025 10:41 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,58,3070655,SOURAV KUMAR PANDA,09-Sep-2025 09:23 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,59,3066917,SRI SOUMYA RANJAN PARDIA,07-Sep-2025 12:27 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,60,3067125,SUBHENDU KESHARI BEHERA,08-Sep-2025 04:51 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,61,3072870,SUBRAT KUMAR SAHU,09-Sep-2025 08:59 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,62,3073971,TALAT ZABEEN,10-Sep-2025 02:01 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,63,3053870,TANKADHAR MEHER,29-Aug-2025 08:29 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
