Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
,,,,,,,,,,,,,,,,,,,,,11,2949732,Biswanath Patra,06-Jun-2025 03:54 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,12,2953792,CHANDA KUMAR PANDA,06-Jun-2025 08:31 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,13,2953562,DEBASIS PRADHAN,05-Jun-2025 10:07 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,14,2943304,DHANANJAYA SATAPATHY,05-Jun-2025 03:46 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,15,2953937,DURGASHANKAR MEHER,06-Jun-2025 11:11 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,16,2952365,Gyanendra Dhar,05-Jun-2025 12:49 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,17,2953181,JITENDRIYA PRADHAN,05-Jun-2025 05:47 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,18,2949979,KIRAN KUMAR PRADHAN,04-Jun-2025 12:54 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,19,2953030,KULAMANI MAJHI,05-Jun-2025 04:40 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,20,2949593,Lalatendu Keshari Bhukta,03-Jun-2025 11:36 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,21,2953515,Lalatendu Satpathy,06-Jun-2025 03:19 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,22,2954067,LOKANATH BARIK,06-Jun-2025 11:49 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,23,2946611,MADHUSUDAN PANDA,02-Jun-2025 03:10 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,24,2952825,MANARANJAN NAYAK,05-Jun-2025 03:37 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,25,2951243,MANDAKINI SAHOO,04-Jun-2025 10:36 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,26,2953495,M/S YASH CONSTRUCTION,06-Jun-2025 01:32 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,27,2953104,NARENDRA PRADHAN,05-Jun-2025 05:05 PM,Accepted-AOC,Selected in the lottery process,09-Oct-2025 12:52 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,28,2947580,Naresh Chandra Luha,04-Jun-2025 03:00 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,29,2950112,Phalguni Dhala,04-Jun-2025 02:25 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,30,2950972,PRABHAT KUMAR BARIK,04-Jun-2025 12:39 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,31,2951411,PRADIP KUMAR PRADHAN,04-Jun-2025 05:34 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,32,2953255,PRAHALAD PRADHAN,05-Jun-2025 06:31 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,33,2949795,Pramod Malik,03-Jun-2025 01:06 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,34,2949292,PRAMOD SAHOO,03-Jun-2025 02:09 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,35,2953506,Pranaya Prasanna Pradhan,05-Jun-2025 09:06 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,36,2949094,RADHAKANTA MAHALIK,06-Jun-2025 01:24 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,37,2953019,Radheshyam Jena,06-Jun-2025 02:20 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,38,2946230,RAMAKANTA DANDASENA,01-Jun-2025 11:26 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,39,2951599,Ranjan Kumar Tripathy,05-Jun-2025 11:52 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,40,2950384,RANJITA MEHER,03-Jun-2025 08:15 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,41,2953741,RENUKA HOTA,06-Jun-2025 11:36 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,42,2953319,RINARANI MEHER,06-Jun-2025 03:39 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,43,2952449,SAMUKA MEHER,05-Jun-2025 04:18 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,44,2954511,SANJAYA SAHOO,06-Jun-2025 02:58 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,45,2949160,SANJEEB KUMAR SAHOO,03-Jun-2025 01:27 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,46,2948158,SANJEEB MEHER,03-Jun-2025 12:03 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,47,2953246,SANKAR MEHER,05-Jun-2025 06:27 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,48,2953665,SHIBANANDA SAHOO,06-Jun-2025 12:55 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,49,2952534,SHIBANAND ROSHANLAL DEHURY,05-Jun-2025 01:40 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,50,2954255,SHIBAPRASAD PANIKAR,06-Jun-2025 01:06 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,51,2950181,Shimanchal Pradhan,03-Jun-2025 05:24 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,52,2947065,SHISHIR KUMAR SUKLA,02-Jun-2025 02:51 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,53,2954610,SIBA SANKAR PRADHAN,06-Jun-2025 04:50 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,54,2947610,Sri Sangram Keshari Meher,04-Jun-2025 01:40 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,55,2952048,SUDHIR KUMAR RAUL,05-Jun-2025 10:51 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,56,2953629,SUDIPTA KUMAR PRADHAN,06-Jun-2025 04:27 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,57,2951268,SUMAN KUMAR ROUT,05-Jun-2025 03:15 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,58,2953825,SUNIL KUMAR NAIK,06-Jun-2025 09:32 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,59,2952710,SURAJ BHOI,05-Jun-2025 03:46 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,60,2952662,Suresh Prasad Dalal,05-Jun-2025 02:21 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
