Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3048633,KHAGESWAR SAHU,25-Aug-2025 05:14 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3059679,KISHOR CHANDRA SAMAL,01-Sep-2025 05:10 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3051043,KSHITISH KUMAR NAYAK,27-Aug-2025 12:16 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3051394,LINANJALI PRADHAN,27-Aug-2025 04:19 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3060401,LIZA CHOUDHARY,02-Sep-2025 01:00 AM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3048482,Lokanath sahu,25-Aug-2025 04:24 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3060230,MANOJ KUMAR BISWAL,01-Sep-2025 09:11 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3061115,MUKESH KUMAR MOHAPATRA,02-Sep-2025 01:52 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3059982,NIHAR RANJAN NAYAK,01-Sep-2025 07:14 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3057981,PADMALAYA DHARUA,31-Aug-2025 08:43 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3061353,PRATAP KUMAR PANI,02-Sep-2025 03:24 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3054805,RAJKISHORE PRADHAN,29-Aug-2025 03:12 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3055851,Ranjan Kumar Garnayak,31-Aug-2025 11:07 AM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3054978,RANJIT KUMAR PRADHAN,29-Aug-2025 03:47 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3058308,Rohit Kisan,01-Sep-2025 11:22 AM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3050978,SABYASACHI PRADHAN,27-Aug-2025 11:50 AM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3050914,Satyajit Pradhan,27-Aug-2025 11:09 AM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3059675,"SHRI GANESH CONSTRUCTION,PROP-SAPAN KUMAR SAHU",01-Sep-2025 07:01 PM,Accepted-AOC,Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3055289,SIMANTA KUMAR SAHU,29-Aug-2025 06:04 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3061231,SOVEN KUMAR SAMAL,02-Sep-2025 02:38 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3056305,SUBRAT KUMAR PARIDA,01-Sep-2025 07:57 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3057296,SUSHANTA KUMAR BEHERA,31-Aug-2025 10:16 AM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3061429,SWARAJ ROUT,02-Sep-2025 04:04 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3051404,TARULATA SAHU,27-Aug-2025 04:37 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3051100,TIKESWAR PRADHAN,27-Aug-2025 12:38 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3058933,TOSHABANTA DHAL,01-Sep-2025 01:53 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
