S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3380448,DURYODHAN BARIK,05-Feb-2026 09:44 AM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3381912,Giresh Kumar Meher,05-Feb-2026 01:10 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3382078,JAGAMOHAN MEHER,05-Feb-2026 01:48 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3381100,JAYARAM NAG,05-Feb-2026 11:13 AM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3381310,KESHABA BARIK,05-Feb-2026 10:28 AM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3377022,KUNTI MAHANANDA,03-Feb-2026 08:40 AM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3381028,LALBANKA BIHARI SETH,04-Feb-2026 06:10 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3380371,MILI BARIK,04-Feb-2026 05:44 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3381126,M/S BISWAMITRA PRADHAN,04-Feb-2026 10:47 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3379397,PADMANAVA NAIK,03-Feb-2026 07:16 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3380946,PINKU MEHER,05-Feb-2026 04:35 AM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3379707,PRABIR KUMAR MAHAKHUD,03-Feb-2026 05:45 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3382184,PURANDAR BANCHOR,05-Feb-2026 02:36 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3376842,raghunath purohit,03-Feb-2026 07:02 AM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3381644,RAJESH RANJAN PATRA,05-Feb-2026 12:08 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3380434,RAJ KUMAR KUDEI,04-Feb-2026 02:58 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3375697,RAMAKANTA PATTANAIK,31-Jan-2026 08:20 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3381508,SHYAMALENDU SINGHADEO,05-Feb-2026 12:43 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3376543,SUBASH CHANDRA AGRAWAL,02-Feb-2026 10:42 AM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3378268,SUJATA KUANR,03-Feb-2026 09:48 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3382137,SUMAN AGRAWAL,05-Feb-2026 01:59 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3379921,SUNITA SAHU,03-Feb-2026 08:57 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3376832,SUSILA SAHU,02-Feb-2026 06:55 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
