S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3381898,Giresh Kumar Meher,05-Feb-2026 01:05 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3382045,JAGAMOHAN MEHER,05-Feb-2026 01:40 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3378069,JINENDRA RAM JAIN,05-Feb-2026 04:59 AM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3381315,KESHABA BARIK,05-Feb-2026 10:40 AM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3377027,KUNTI MAHANANDA,03-Feb-2026 08:42 AM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3381021,LALBANKA BIHARI SETH,04-Feb-2026 06:06 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3380380,MILI BARIK,04-Feb-2026 05:47 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3382701,MITHUN KUMBHAR,05-Feb-2026 04:37 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3381130,M/S BISWAMITRA PRADHAN,04-Feb-2026 10:48 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3379390,PADMANAVA NAIK,03-Feb-2026 07:12 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3380948,PINKU MEHER,05-Feb-2026 04:37 AM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3379709,PRABIR KUMAR MAHAKHUD,03-Feb-2026 05:47 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3376848,raghunath purohit,03-Feb-2026 07:04 AM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3381620,RAJESH RANJAN PATRA,05-Feb-2026 11:55 AM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3380438,RAJ KUMAR KUDEI,04-Feb-2026 03:00 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3381499,SHYAMALENDU SINGHADEO,05-Feb-2026 12:40 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3375934,SIDDHANTA KUMAR SAHU,01-Feb-2026 01:11 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3376526,SUBASH CHANDRA AGRAWAL,02-Feb-2026 10:35 AM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3378275,SUJATA KUANR,03-Feb-2026 09:50 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3382098,SUMAN AGRAWAL,05-Feb-2026 01:53 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3379926,SUNITA SAHU,03-Feb-2026 09:01 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3376817,SUSILA SAHU,02-Feb-2026 06:53 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
